repo_path	drive_id	drive_title	drive_size_bytes	source	reason
The Method Materials/CORPUS/READ-ch2-A.md	1gpWRQ-KvCemN4mTA0f3kdLNNdDwIIbdS	READ-ch2-A.md	11932	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch2-B.md	1Yr2Kk5HnK_7RKMHZdHNu1Xd1fWgerxBk	READ-ch2-B.md	6793	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch20a.md	15Gl3wV5GWEqmRc9Dwwo8Pkoe25IZ_lHi	READ-ch20a.md	15542	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch21a.md	1QUrx8chtblKJGHUNP4myjKhj9CJXaWQz	READ-ch21a.md	12448	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch22a.md	1jtgmgJcSKNlsuk_VVM1w7-uSTLWxsD6K	READ-ch22a.md	6790	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch23a.md	15mfcxil0HoEEcMCuLdHgS-s_7YUhc3Nv	READ-ch23a.md	13271	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch24a.md	1GIM37Aa3cwCwf3VsnUF85K41pShnWDQM	READ-ch24a.md	15116	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch25a.md	146zQy5KzrvBrvQgm_ouyOOLde8sQsTCz	READ-ch25a.md	16293	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch26a.md	1xTc23JVKqUp3RpNnnX8VO9Wh4fObttI0	READ-ch26a.md	12250	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch27a.md	1PdNCFG82g-jJXLw27XSvoxxmaEJ_bNzB	READ-ch27a.md	12249	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch28a.md	19Od0RpKayQ3aM9mgVINbbiDRX9szyUhc	READ-ch28a.md	12603	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch3.md	1a5arMVJlzQOBfQkPQfJXEvvUnC53Zon9	READ-ch3.md	21128	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch34re.md	16CwaxsNnqLTnf2oisEK2SSFEqEy8LgAJ	READ-ch34re.md	12083	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch4.md	1XT6tdegdYfSQrKNmk2hQmdBSf5tOtYae	READ-ch4.md	3134	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch5.md	135DFeOfPDjPlwO-FkGDgPkZcA0j8B9_D	READ-ch5.md	4929	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch6.md	1vWiwoVejeWXQtfg9lmEELkrEP-5zYU1o	READ-ch6.md	8495	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch7.md	1kWxvMsNsPZSryuTbkQ-OGHJ58B3bpfsa	READ-ch7.md	7044	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch8.md	1q61JGzcGjWJvT_GDggDDYNNS592FhLVr	READ-ch8.md	7209	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch9.md	1D9c1qQ5Ls96gPLVMQQHB5tkGqqYDe60p	READ-ch9.md	5883	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-intake1.md	1kBMpZhWPFnKbmmgdRb72M16KmN4bSUhT	READ-intake1.md	10195	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-scf.md	1P1Cu8bUba7BKny8gbaSuStXCd_ypaaj1	READ-scf.md	12156	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-warn.md	1M-RBCTYTx7podDMHOM5koxundfoC2fzC	READ-warn.md	10531	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/REGISTER_AUDIT.md	1sXGpC2ks-Xz1-Vvv3kzVUWoBEBfmYJB7	REGISTER_AUDIT.md	1445	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/REQUEST-LOWDIN.md	1i_vEOrXvJF07VK4QOqV-CMPXG8UcEj_f	REQUEST-LOWDIN.md	5810	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/REQUEST-THREEBODY.md	1s9z2pIXwTyv2nZ1GBeca8TQv80NalAbG	REQUEST-THREEBODY.md	5300	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/RESPONSE-TO-METHOD-1_6.md	1F9xLOHagdRPoTQ3jIbzjxuBhf8P5ksW4	RESPONSE-TO-METHOD-1_6.md	9706	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/RULING-TOLERANCE-489.md	1LSdGEq87GZ_2h6uDsQX_TT-qum6lkDaX	RULING-TOLERANCE-489.md	3121	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/RULINGS-R2.md	1vAjEy_RzS1pq8l67jnZO-meeCF1OAw1q	RULINGS-R2.md	17684	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/ScIII_asd.tsv	1FS2lk7kbpW8BxWwhzoTGVCslkIyN00jM	ScIII_asd.tsv	1269	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-MANIFEST.tsv	1DObLV7tMUOzz0aC8_naVzCsn5Cf-w29G	TB1-MANIFEST.tsv	1840	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-README.md	1Bi7ngAnIxzvLSko4uLZnYxXJM9GpNS54	TB1-README.md	6956	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-audit.log	15kPS35wd6kxfPr_dmI0NO4z9RdFpe_5u	TB1-audit.log	1620	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-audit.py	1II2wi-zrU2hYjnwRCtSxGKBo_Ccq93sy	TB1-audit.py	4792	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-audit_state1_failing.log	1jqmwmECkCmGZ5MmDCQXK24loYgR3rxL3	TB1-audit_state1_failing.log	1633	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-audit_state1_failing.py	1SAe6bADr7o-alxPoydGYedZOFWBgdcMX	TB1-audit_state1_failing.py	4849	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-caps_table.log	1QYb3acqV_3UT8tNMG8WfBOWc0TqDuT6X	TB1-caps_table.log	271	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-caps_table.py	1vYhXTW1-KGkCMuBQyUVz7KiVt41V5_Uo	TB1-caps_table.py	618	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-figs.log	14aKn8icX5NXCsKdDxIfeEXMJjmDKsDUE	TB1-figs.log	222	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-figs.py	1qbjUF3fcuGR6fKlJ0S3X0XPZq4DP3BJj	TB1-figs.py	3778	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-figs2.py	1m1J8H0KGDoF7y4oiakWwI3G8apHpwJGm	TB1-figs2.py	2007	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-n8_check.log	1051pdgpjJ0Kzf4Eb3WgGTvVlljeE3C4A	TB1-n8_check.log	1221	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-n8_check.py	1PY-b9uqLtKUTh_MA_hOsGK2L8ionTlfc	TB1-n8_check.py	1719	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-routh_check.log	1gGS0h5WPhnAI1uXOB-UuWPtnb-11a1qa	TB1-routh_check.log	90	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/TB1-routh_check.py	1skzK3FWPwTkTe3sR7zP0nKHdMM9KklMw	TB1-routh_check.py	366	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/THE-LOWDIN-SOLUTION-2.md	1GK-fn0zmA4wijObFAi-qPI2pMBzyVF6m	THE-LOWDIN-SOLUTION-2.md	38040	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/The_Method_1_6-2.md	1VUGYwp74zubmRAMY9DrBzOPJB6UXOOTB	The_Method_1_6-2.md	779423	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/The_Method_1_6___Mathematical_Compendium-2.md	1iTLwovd8orummUiYEGAFMy2Qm2yoWd0T	The_Method_1_6___Mathematical_Compendium-2.md	309403	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/The_Method_1_6___Spectra_Compendium-2.md	18Aw2V8b-uMJIlJyZ0d2YFT_R-Z7Ar7i7	The_Method_1_6___Spectra_Compendium-2.md	100790	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/The_Method_1_6___The_Index_of_Indices-2.md	1CeifDdbd5jxn7APHAPjiYISwvNr50pK_	The_Method_1_6___The_Index_of_Indices-2.md	118373	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/The_Method_1_6___The_Physics_Compendium-2.md	1CTuz7IR9-ZawRBNyT3G8iz5wOjzMFKAL	The_Method_1_6___The_Physics_Compendium-2.md	61366	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/The_Method_1_6___The_Register-2.md	1D4RzqvlNCpgHPjEianzmi-2JfwZ58El7	The_Method_1_6___The_Register-2.md	1203491	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/The_Three_Body_Problem_for_Unknown_Masses_Lach-2.md	10TdAiRetPAsINH9Wa3zoMhQ2YSU-L297	The_Three_Body_Problem_for_Unknown_Masses_Lach-2.md	23022	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/Transitions.md	1Ov3SiLfA-M-RhWT3AwVLBqjiSXuser2L	Transitions.md	121692	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/WORKING-REGISTER.md	1J46eKr6u3MKIqqR0bSXvCa9f3BTgsOOO	WORKING-REGISTER.md	902542	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/amd2_write.py	1VjOdO4H9zrzVEsSQ36E9cD1r7aoNPhgG	amd2_write.py	3704	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/appf.py	1r8NMIyKmks-dBO1wQjEh4bH4ap86l3-z	appf.py	9888	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/archive-split.out	1gU-JMVKdNGF3oL2EX6U7egJ7mx2AaHZx	archive-split.out	388	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/archive-split.py	1ZvssHxd5no5JQM29wU4XzaAYIaxS2RpL	archive-split.py	30795	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/bookindex.py	1ZpDBdpIN55c4cMgS8tIgGSBJgLC3_mFg	bookindex.py	2801	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/build.py	1q4KutH8mWQ4s5HZoEzfperye7S7KgXhF	build.py	63738	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/build126.py	1ne0Ha3PIPBgS9PmcyHxyNOg2dSI9EUTw	build126.py	5764	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/bundle.py	1Ys9Zj9BLGYD9jFUSFrA--m03uwcOmGdt	bundle.py	6787	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/census.py	1E9UoNt1y3CqJ5VqL0HzLhkLZZwwe71RQ	census.py	9299	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/channels_LIMB.py	1DwECSaSEdNyfOqoaFWgjiVS_suiCUS73	channels_LIMB.py	326	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/classify.json	1yfiBhtVlAqbsd-oYcqCgo-fIZ2NvynBe	classify.json	1371	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/close.py	1wwIeemKnFklhbI4KkkKaQFP6GD7UkmkY	close.py	6456	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/coords.py	1kkv5DwCoXdHzx4_VrvPUQa6sE8VEvftD	coords.py	8006	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/crop_titles.py	1DoRTRzoIJaaU9l0LUrQwqrzP3JFMv1Y_	crop_titles.py	807	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/dclose.py	1tXugq_BtzmfhUgPZAR3SXwavhsr-cnG8	dclose.py	5925	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/depoint.py	1A750JgNhNMBHTMdkQUrRizxrD4TWPxNP	depoint.py	5965	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/excise.py	1fdiRYwczHkWmY9cgwLaSCB1juxmJfTC0	excise.py	2840	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/excise_plan.json	1EhhJWPZU9VWEVQNxj2kZXAjL1wYQ_0sy	excise_plan.json	1757	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/excision_result.json	1Q0Gt5wHmhDqqNJvhAKIFQzHKeCIHBjJ2	excision_result.json	941	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/extent.out	1zkQc5k-YzNn31G_6k70y2vF8wjLn_kHU	extent.out	132	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/fig241_data.json	1372iVHr_I0wzlL-0RFlF-PKkq6Ibg4L8	fig241_data.json	8186	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/fig_rerender.py	1oYLLSexbXuajrqxi67z6evEsgwF_z5c9	fig_rerender.py	6293	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/gate.py	1lIbSFSC1PXETdFFxuW7vYpwJKDg0Ba6k	gate.py	9377	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/heii.py	1UA2aYRcbRRssX-mCbgL5g-2AftKQUMhG	heii.py	2344	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/heii_levels.txt	1vXm-yJSJmNyd1E7dXO1YoOCnkEhsa2SS	heii_levels.txt	2187	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/heii_series.json	1gUKouJn6O7UqaoH4nETn9UdFMacttKi0	heii_series.json	606	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/index_gen.py	1ftat92mgiRcX22c0jnduc9iWbEhEa1A2	index_gen.py	5653	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/index_pages.py	1kVi8UP38bAtNphN-2tFWYoueuxNjaMfB	index_pages.py	6797	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/kinds.out	11JceUpFzCweazHLhR7yauZWgMjIxta0K	kinds.out	540	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/kinds.py	1j3OWphIZC5NR_QVGNQFHoz1fgZ4_sqBJ	kinds.py	3370	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/l-ch1.py	1GT6CG2bdAaGl3tDrCoKJv96-X1OqxZTn	l-ch1.py	2087	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/l-ch2.py	1k7yFQ7rAvFllALJXPPRQfvWKKFMlV4PU	l-ch2.py	1147	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/minmax.out	1vHSGLjK9KA4QbwlL_WaQnn30VcTeLbNO	minmax.out	563	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/minmax.py	1xIdYqV0Wn8h6Gk7OiUnUhkK0a2jb-h9y	minmax.py	1824	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/mkref.py	19CxTwOaFGgWmnunjeqgzcF4UY58uxi8G	mkref.py	7199	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/numcheck.py	1niOsA3VXBJ7x4Gs1cfptQkgeMKjY4F9B	numcheck.py	795	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/qgraph.py	15LupndS1SQER9y7EIyCefI5C5C6ZxakC	qgraph.py	828	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-21a.out	19aOcp_2NKWJ4urlFtkop_3WTpiJkO7jn	r2-21a.out	25222	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-21a.py	1bXCMsDFzYv2eKepo3JW3tzZzB_gK5H6k	r2-21a.py	21177	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-23a.out	1tO6snZYZOxr7R-FXaeBIBhmL2Orvciqj	r2-23a.out	37448	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-23a.py	1_EYb2WYD03fx-NY6sXvIYXgxpxScKPQV	r2-23a.py	20065	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-24a.out	1EcxXs3o6yQ2KJdXPXQQualsltdBd5_Oi	r2-24a.out	24262	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-24a.py	1Q0-YqngYDBoMsOL5snJszyhwcpxLKPRI	r2-24a.py	28685	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-25b.out	1UHQtVsgyZOAG_DCFouyszHH7UjPCesl-	r2-25b.out	16449	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-25b.py	1Q27b_X4pHcyqIoxWbVnOnbryHzfHwnVy	r2-25b.py	21612	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch1.py	1OSGe5xTad3zLKskg5_avMojYdSxgnUxl	r2-ch1.py	2940	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch10.py	1N4MfmgfRW9ZbursOsjT-SFczbp8FGb0k	r2-ch10.py	5035	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch11.py	1BHM0BYBBZnPkGR0Tj-0rfYcWjQ9vDibd	r2-ch11.py	8759	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16a.out	1y33DBaxbHLfhEVvTflmIojIg-WkQLaWK	r2-ch16a.out	17491	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16a.py	1nhMxQm-UNIDoXZItj-9l3rd4qA5LyyBj	r2-ch16a.py	14072	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16b.out	1k38qbbOnvdcFRm3l8o7hPXLR7YfzudBt	r2-ch16b.out	11957	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16b.py	1U2xpvkwB1Paq_Li-bp_JCapgWi65MyrG	r2-ch16b.py	21250	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16c.out	1Ru6rjYAZnrE9Ctl_ju632dJYBfWtOuEB	r2-ch16c.out	16427	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16c.py	1R-YYMXemhlvNLWFwJbKZwJY0IXRdUywK	r2-ch16c.py	18745	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16e.out	1TfkSbGHIiRE6ynDIz_Jd_jsrTkV1pQbs	r2-ch16e.out	9894	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16e.py	1-vM_1-ahmq2hzK_d0hv1ZykLkXAFiWF5	r2-ch16e.py	18228	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16f.out	1sOkvl5wPZGwTRlIejbjh15gZHyhEif2n	r2-ch16f.out	30925	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16f.py	1nhZii3ljvs06Or8s58X9932U_m7Y-l3r	r2-ch16f.py	17508	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16h.out	1KVh9UsWnQnyVIpg3w3kc2yUofp3LxOX4	r2-ch16h.out	7780	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/r2-ch16h.py	19B6r9sGFwNRg0HHjOwv32wfjvJChFA7k	r2-ch16h.py	14923	subfolder never walked by the original mirror	not yet transferred
