id	claim	value	unit	status	provenance	verify
C19	pion-threshold kinematic floor	0.30	GeV	BOUND	300 MeV pion threshold at perfect collection	collector.PION_THRESHOLD_GEV
C20	headroom, achieved to threshold floor	123	x	DERIVED	C18 / C19	fn:headroom
C21	FOM at best design, heat convention	0.203	dimensionless	DERIVED	C01 / (C10 x C18)	fn:fom_heat
C22	FOM at best design, work convention	0.102	dimensionless	DERIVED	C01 x C12 / (C10 x C18)	fn:fom_work
C23	shortfall, heat	4.9	x	DERIVED	1 / C21	fn:short_heat
C24	shortfall, work	9.8	x	DERIVED	1 / C22	fn:short_work
C25	condition 8 bound, heat	7.52	GeV	DERIVED	C01 / C10	fn:cond8_heat
C26	condition 8 bound, work	3.77	GeV	DERIVED	C01 x C12 / C10	fn:cond8_work
C27	margin under condition 8, heat	25.1	x	DERIVED	C20 / C23	fn:margin_heat
C28	margin under condition 8, work	12.6	x	DERIVED	C20 / C24	fn:margin_work
C29	sticking ceiling on service life, measured	222	cycles	DERIVED	1 / C06	fn:ceiling_measured
C30	sticking ceiling on service life, both levers	427	cycles	DERIVED	1 / C10	fn:ceiling_levers
C31	service life at phi=3, measured sticking	196	cycles	DERIVED	N(0.0045, 3.0)	fn:N_measured_phi3
C32	service life at phi=3, both levers	340	cycles	DERIVED	N(0.00234, 3.0)	fn:N_levers_phi3
C33	recoil/orbital velocity ratio, d+t	2.97	dimensionless	MEASURED	v1.0 sec.2, reproduced by fn:vratio(3.5,4,2)	fn:vratio_dt
C34	recoil/orbital velocity ratio, d+d to 3He+n	1.66	dimensionless	MEASURED	v1.0 sec.2, reproduced by fn:vratio(0.82,3,2)	fn:vratio_dd
C35	MuSIC mu- yield per watt	9.0e4	mu-/s/W	MEASURED	Cook et al. arXiv:1610.07850, +/- 1.0e4	collector.MUSIC_MU_MINUS_PER_W
C36	MuSIC all-charge yield per watt	10.4e5	mu/s/W	MEASURED	Cook et al. arXiv:1610.07850, +/- 2.7e5	collector.MUSIC_ALL_MU_PER_W
C37	PSI muE4 yield per watt, as stated	3.5e2	mu/s/W	MEASURED	Cook et al., citing Prokscha et al. NIM A 595 317	collector.PSI_MUE4_PER_W
C38	MuSIC gain over a conventional beamline	257	x	DERIVED	C35 / C37	fn:music_gain
C39	Mu2e stopped mu- per proton	0.0016	mu-/proton	DESIGN	Mu2e CDR and technical documentation, 8 GeV	collector.MU2E_STOPPED_PER_P
C40	Mu2e stopping fraction at the target	40	percent	DESIGN	Mu2e, of muons exiting the beamline	collector.MU2E_STOPPING_FRAC
C41	proton driver optimum energy	7	GeV	SOURCED	Strait et al. PRSTAB 13 111001, flat within 10pc over 4-11 GeV	none
C42	ambient static screening ceiling	30	eV	DERIVED	complete site electronic inventory, v1.0 sec.6.1	none
C43	ambient screening requirement	88	eV	DERIVED	for a detectable p+d rate, v1.0 sec.6.1	none
C44	Los Alamos cycles per muon	150	cycles	MEASURED	v1.0 sec.7, historical	none
C45	Los Alamos Q recosted at C18	0.071	dimensionless	DERIVED	C44 x C01 / C18	fn:losalamos_recost
C46	internuclear separation, muonic dt	280	fm	MEASURED	muCF literature, v1.0 sec.2	none
C47	internuclear separation, electronic	74100	fm	DERIVED	electronic molecular scale, v1.0 sec.2	none
C48	orders of magnitude bought by geometry	91	orders	DERIVED	tunnelling rate ratio across C46 vs C47, v1.0 sec.2	none
C49	orders available from potential perturbation	33	orders	DERIVED	at fixed geometry, v1.0 sec.2	none
C50	dtmu J=1 v=1 binding energy	0.66	eV	MEASURED	muCF literature, the Vesman resonance edge cell	none
C51	D2 vibrational quantum	0.365	eV	MEASURED	molecular spectroscopy	none
C52	dtmu ground state depth	319	eV	MEASURED	muonic molecule, unreachable by the host	none
C53	loose state below muonic ground state	483	x	DERIVED	C52 / C50	fn:loose_ratio
C54	muon released per fusion	99.14	percent	MEASURED	v1.0 sec.3.4	none
C55	muon stuck per fusion	0.86	percent	MEASURED	v1.0 sec.3.4	none
C56	net sticking loss after stripping	0.45	percent	DERIVED	roughly half of C55 collisionally stripped	none
C57	free muon lifetime	2.197	microseconds	MEASURED	PDG	none
C58	neutron energy, d+t	14.1	MeV	MEASURED	standard nuclear data	none
C59	alpha energy, d+t	3.5	MeV	MEASURED	standard nuclear data	none
C60	alpha share of fusion yield	19.9	percent	DERIVED	C59 / C01	fn:alpha_share
C61	neutron share of fusion yield	80.2	percent	DERIVED	C58 / C01	fn:neutron_share
C62	blanket Carnot efficiency at 800 K	62	percent	DERIVED	1 - 300/800	fn:carnot800
C63	muonic helium K-alpha line	8.2	keV	MEASURED	v1.0 sec.3.5, the sticking observable	none
C64	PSI proton driver power	1.4	MW	MEASURED	PSI facility	none
C65	PSI beamline delivered muon rate	1e10	mu/s	MEASURED	best planned, HIMB class	none
C66	energy per delivered muon, PSI beamline	874	TeV	DERIVED	C64 / C65	fn:delivered_per_muon
C67	Mu2e energy per stopped muon	5	TeV	DERIVED	8 GeV / C39	fn:mu2e_per_muon
C68	ambient screening shortfall factor	2.9	x	DERIVED	C43 / C42	fn:ambient_factor
C69	ambient screening shortfall in rate	27	orders	DERIVED	exponential in the barrier, v1.0 sec.6.1	none
C70	capture solenoid field, NF/MC front end	20	T	SOURCED	Strait et al. PRSTAB 13 111001, MARS15 model	none
C71	target thickness, NF/MC front end	2	interaction-lengths	SOURCED	Strait et al. PRSTAB 13 111001, Table II	none
C72	proton driver flat band, lower	4	GeV	SOURCED	Strait et al., yield within 10pc of optimum	none
C73	proton driver flat band, upper	11	GeV	SOURCED	Strait et al., yield within 10pc of optimum	none
C74	muon mass in MeV	105.7	MeV	MEASURED	PDG	none
C75	binder window floor in MeV	60.8	MeV	DERIVED	C13 x electron mass	fn:window_floor_mev
C76	blanket and resonance operating temperature	800	K	DERIVED	formation resonance peak and blanket hot end	none
C77	ambient reference temperature	300	K	DEFINITION	Carnot cold end	none
C78	HARP full measured acceptance, integrated pi- cross section	1.0382	barn	DERIVED	arXiv:0709.3458 Table 8 p-Pb pi- 8 GeV/c, integrated here	fn:harp_sigma
C79	p-Pb inelastic cross section	1.7	barn	MEASURED	standard, few-GeV protons	collector.SIGMA_INEL_PB
C80	pi- per interacting proton, full measured acceptance	0.6107	pi-/p	DERIVED	C78 / C79; a LOWER BOUND on total production	fn:harp_yield
C81	NF front-end captured mu- per interacting proton	0.2160	mu-/p	DERIVED	C17 / 2 x 8 GeV	fn:nf_captured
C82	fraction of measured pions the front end captures	0.35	fraction	DERIVED	C81 / C80	fn:capture_ratio
C83	cost per pi- produced, full measured acceptance	13.10	GeV	DERIVED	8 GeV / C80; upper bound, forward cone excluded	fn:cost_upper
C84	HARP acceptance, angular lower limit	0.35	rad	SOURCED	arXiv:0709.3458 large-angle spectrometer	none
C85	HARP acceptance, angular upper limit	2.15	rad	SOURCED	arXiv:0709.3458 large-angle spectrometer	none
C86	HARP acceptance, momentum upper limit	0.80	GeV/c	SOURCED	arXiv:0709.3458	none
C87	HARP beam momentum used	8	GeV/c	SOURCED	arXiv:0709.3458, one of six beam settings	none
C88	backward sliver, integrated pi- cross section	0.3634	barn	DERIVED	theta >= 1.15 rad subset of C78	fn:harp_sigma_back
C89	backward sliver, pi- per interacting proton	0.2138	pi-/p	DERIVED	C88 / C79	fn:harp_yield_back
C90	ratio, captured to backward-sliver production	1.01	x	DERIVED	C81 / C89	fn:back_ratio
C91	backward sliver as fraction of measured acceptance	35	percent	DERIVED	C88 / C78	fn:back_frac
C92	FOM at production cost, heat	0.574	dimensionless	DERIVED	C01 / (C10 x C83)	fn:fom_prod_heat
C93	FOM at production cost, work	0.287	dimensionless	DERIVED	C01 x C12 / (C10 x C83)	fn:fom_prod_work
C94	shortfall at production cost, heat	1.74	x	DERIVED	C83 / C25	fn:short_prod_heat
C95	shortfall at production cost, work	3.48	x	DERIVED	C83 / C26	fn:short_prod_work
C96	backward sliver boundary	1.15	rad	SOURCED	HARP angular bin edge, subset boundary	none
C97	HARP forward acceptance, integrated pi- cross section	0.1838	barn	DERIVED	arXiv:0907.3857 Tab XXIII+XXXII, solid-angle Jacobian applied	fn:harp_fwd_sigma
C98	combined measured pi- cross section	1.2220	barn	DERIVED	C78 + C97	fn:harp_comb_sigma
C99	combined pi- per interacting proton	0.7188	pi-/p	DERIVED	C98 / C79; still a LOWER BOUND	fn:harp_comb_yield
C100	cost per pi- produced, combined	11.13	GeV	DERIVED	8 GeV / C99	fn:cost_pion
C101	forward share of combined production	15	percent	DERIVED	C97 / C98	fn:fwd_frac
C102	shortfall at perfect collection, heat	1.48	x	DERIVED	C100 / C25	fn:short_perf_heat
C103	shortfall at perfect collection, work	2.96	x	DERIVED	C100 / C26	fn:short_perf_work
C104	FOM at perfect collection, heat	0.675	dimensionless	DERIVED	C01 / (C10 x C100)	fn:fom_perf_heat
C105	FOM at perfect collection, work	0.338	dimensionless	DERIVED	C01 x C12 / (C10 x C100)	fn:fom_perf_work
C106	front end capture as fraction of production	30	percent	DERIVED	C81 / C99	fn:capture_of_production
C107	forward acceptance, angular lower limit	0.025	rad	SOURCED	arXiv:0907.3857 finest binning	none
C108	forward acceptance, angular upper limit	0.25	rad	SOURCED	arXiv:0907.3857	none
C109	uncovered angular band, lower	0.25	rad	DERIVED	between the two spectrometers	none
C110	initial alpha-mu sticking, dtmu J=v=0	0.938	percent	SOURCED	Wu and Kamimura arXiv:2401.17358 Table V, +/- 0.07	mucf.OMEGA_INITIAL
C111	reactivation survival fraction, via SIN	0.480	fraction	DERIVED	C06 / C110	fn:react_sin
C112	reactivation survival fraction, via PSI	0.597	fraction	DERIVED	C07 / C110	fn:react_psi
C113	J=1 final sticking via SIN reactivation	0.5050	percent	DERIVED	C09 x C111	fn:ws_sin
C114	J=1 final sticking via PSI reactivation	0.5320	percent	DERIVED	C09 x C112	fn:ws_psi
C115	break-point sticking for the heat form	0.1580	percent	DERIVED	C01 / C100	fn:breakpoint
C116	condition 8 heat bound via SIN	3.48	GeV	DERIVED	C01 / C113	fn:c8_sin_heat
C117	condition 8 heat bound via PSI	3.31	GeV	DERIVED	C01 / C114	fn:c8_psi_heat
C118	heat margin via SIN	0.31	x	DERIVED	C116 / C100	fn:margin_sin
C119	heat shortfall via PSI	3.37	x	DERIVED	C100 / C117	fn:short_psi
C120	work shortfall via SIN	6.38	x	DERIVED	C100 / (C116 x C12)	fn:work_short_sin
C121	work shortfall via PSI	6.72	x	DERIVED	C100 / (C117 x C12)	fn:work_short_psi
C122	initial sticking, optical-potential and R-matrix low end	0.91	percent	SOURCED	arXiv:2401.17358, corroborating range	none
C123	initial sticking, S state as carried by this paper	0.90	percent	MEASURED	variational three-body, the paper's own figure	none
C124	condition 8 work bound via SIN	1.75	GeV	DERIVED	C116 x C12	fn:c8_sin_work
C125	condition 8 work bound via PSI	1.66	GeV	DERIVED	C117 x C12	fn:c8_psi_work
C126	kaon mass	966	m_e	MEASURED	PDG	none
C127	antiproton mass	1836	m_e	MEASURED	PDG	none
C128	Sigma-minus mass	2343	m_e	MEASURED	PDG	none
C129	tau mass	3477	m_e	MEASURED	PDG	none
C130	muon mass above the window floor	1.74	x	DERIVED	C15 / C13	fn:muon_above_floor
C131	Li-6 breeding reaction Q value	4.78	MeV	MEASURED	n + 6Li -> T + alpha, standard nuclear data	collector.LI6_Q_MEV
C132	blanket thermal per fusion	18.88	MeV	DERIVED	C58 + C131	fn:blanket_thermal
C133	total thermal per fusion	22.38	MeV	DERIVED	C59 + C132	fn:total_thermal
C134	blanket energy multiplication	1.272	x	DERIVED	C133 / C01	fn:energy_mult
C135	work per fusion, paper's accounting	8.81	MeV	DERIVED	C01 x C12	fn:work_old
C136	work per fusion, corrected	13.99	MeV	DERIVED	C133 x C62	fn:work_new
C137	gain from the corrected accounting	1.587	x	DERIVED	C136 / C135	fn:work_gain
C138	corrected convertible fraction	0.795	fraction	DERIVED	C136 / C01	fn:f_work_new
C139	work shortfall via SIN, corrected	4.02	x	DERIVED	C120 / C137	fn:short_sin_corr
C140	work shortfall via PSI, corrected	4.23	x	DERIVED	C121 / C137	fn:short_psi_corr
C141	NF front-end aperture product	1.50	T.m	DERIVED	20 T x 0.075 m	fn:br_nf
C142	NF front-end capture, both hemispheres	61	percent	DERIVED	captured_fraction(1.50)	fn:cap_nf
C143	NF front-end capture, backward only	10.3	percent	DERIVED	captured_fraction(1.50, backward)	fn:cap_nf_back
C144	aperture product for 90 percent capture	2.60	T.m	DERIVED	solved from the acceptance model	fn:br_90
C145	bore at 20 T for 90 percent capture	13	cm	DERIVED	C144 / 20 T	fn:bore_90
C146	aperture increase over the NF front end	1.74	x	DERIVED	C144 / C141	fn:br_ratio
C147	COMET solenoid cap from the model	112	MeV/c	DERIVED	0.3 x 5 T x 0.15 m / 2, against its stated 100	fn:comet_cap
C148	MuSIC demonstrator beam power	400	W	MEASURED	Cook et al. arXiv:1610.07850, maximum	none
C149	service-life asymptote, SIN reading	198	cycles	DERIVED	1 / C113	fn:asym_sin
C150	service-life asymptote, PSI reading	188	cycles	DERIVED	1 / C114	fn:asym_psi
C151	density for 90 percent of the asymptote, SIN	3.2	LHD	DERIVED	9 lambda_0 / (omega_s lambda_c)	fn:phi90_sin
C152	service life at phi=3, SIN reading	177.1	cycles	DERIVED	N(C113, 3)	fn:N3_sin
C153	service life at phi=3 as fraction of asymptote	89.4	percent	DERIVED	C152 / C149	fn:frac3_sin
C154	thermal gain at phi=3, SIN reading	0.356	dimensionless	DERIVED	C152 x C133 / C100	fn:tq3_sin
C155	thermal gain at the asymptote, SIN reading	0.398	dimensionless	DERIVED	C149 x C133 / C100	fn:tq_asym_sin
C156	work gain at phi=3, SIN reading	0.223	dimensionless	DERIVED	C152 x C136 / C100	fn:wq3_sin
C157	thermal shortfall at phi=3, SIN reading	2.81	x	DERIVED	1 / C154	fn:tshort3_sin
C158	Be neutron-multiplication endotherm	1.57	MeV	MEASURED	9Be(n,2n)2alpha	collector.BE_N2N_COST_MEV
C159	net return per multiplied neutron	3.21	MeV	DERIVED	C131 - C158	fn:net_extra_n
C160	thermal per fusion at 1.6 neutrons per source	24.31	MeV	DERIVED	blanket with a Be multiplier	fn:therm_mult
C161	energy multiplication at 1.6 neutrons per source	1.382	x	DERIVED	C160 / C01	fn:mult_16
C162	work shortfall at phi=3, PSI reading	4.71	x	DERIVED	1 / (N(C114,3) x C136 / C100)	fn:wshort3_psi
C163	published blanket multiplication, low end	1.1	x	SOURCED	fusion blanket design range	none
C164	liquid hydrogen density	4.25e22	atoms/cm3	MEASURED	the paper's own figure, sec.3.2	collector.LHD_ATOMS_PER_CM3
C165	molar volume at the required density	8.86	cm3/mol	DERIVED	2 N_A / (C151 x C164)	fn:molar_vol_phi90
C166	molar volume of zero-pressure solid hydrogen	23	cm3/mol	MEASURED	standard	none
C167	compression required over solid hydrogen	2.6	x	DERIVED	C166 / C165	fn:compression
C168	reported transition density	0.6	mol/cm3	SOURCED	molecular hydrogen metallization, predicted	collector.H2_TRANSITION_MOL_PER_CM3
C169	transition density if counted as atoms	8.5	LHD	DERIVED	C168 x N_A / C164	fn:trans_atoms
C170	transition density if counted as molecules	17.0	LHD	DERIVED	2 x C168 x N_A / C164	fn:trans_molecules
C171	reported semimetallic onset pressure	315	GPa	SOURCED	molecular hydrogen, measured	none
C172	pressure to which hydrogen remains molecular	440	GPa	SOURCED	Raman, measured to 480 GPa	none
C173	advanced blanket temperature	1200	K	SOURCED	proposed high-temperature blanket concepts	none
C174	Carnot at the advanced blanket temperature	0.750	fraction	DERIVED	1 - C77 / C173	fn:carnot1200
C175	work per fusion, all levers at bound	18.23	MeV	DERIVED	C160 x C174	fn:work_bound
C176	service life at the lower dissociation reading	190.1	cycles	DERIVED	N(C113, C169)	fn:N_diss
C177	thermal gain, all levers at bound	0.415	dimensionless	DERIVED	C176 x C160 / C100	fn:tq_bound
C178	work gain, all levers at bound	0.311	dimensionless	DERIVED	C176 x C175 / C100	fn:wq_bound
C179	work shortfall, all levers at bound	3.21	x	DERIVED	1 / C178	fn:wshort_bound
C180	conventional blanket temperature, low end	700	K	SOURCED	He-cooled ceramic and PbLi designs	none
C181	service life needed for work breakeven	610.5	cycles	DERIVED	C100 / C175	fn:N_needed
C182	effective sticking needed for work breakeven	0.1427	percent	DERIVED	solved from C181 at C169	fn:ws_needed
C183	reduction in effective sticking required	71.7	percent	DERIVED	1 - C182 / C113	fn:ws_reduction
C184	measured effective sticking at 5 K	0.86	percent	SOURCED	temperature study, attributed to R	none
C185	measured effective sticking at 16 K	0.64	percent	SOURCED	temperature study, attributed to R	none
C186	measured excursion in effective sticking	26	percent	DERIVED	1 - C185 / C184	fn:ws_excursion
C187	d+d to t+p yield	4.03	MeV	MEASURED	standard nuclear data	none
C188	d+d to 3He+n yield	3.27	MeV	MEASURED	standard nuclear data	none
C189	t+t yield	11.33	MeV	MEASURED	standard nuclear data	none
C190	p+d yield	5.49	MeV	MEASURED	standard nuclear data	none
C191	d+3He yield	18.35	MeV	MEASURED	standard nuclear data	none
C192	3He+3He yield	12.86	MeV	MEASURED	standard nuclear data	none
C193	p+11B yield	8.70	MeV	MEASURED	standard nuclear data	none
C194	direct conversion efficiency, low end	60	percent	SOURCED	electrostatic direct conversion of charged products	none
C195	direct conversion efficiency, high end	90	percent	SOURCED	electrostatic direct conversion of charged products	none
C196	downstream yield of one bred fissile nucleus	200	MeV	MEASURED	239Pu fission, standard	collector.PU239_FISSION_MEV
C197	breeding ratio after tritium self-sufficiency	0.7	per fusion	RECONSTRUCTED	with a multiplier at 1.6-1.8 n/source	collector.BREEDING_RATIO
C198	breeding credit per fusion	140	MeV	DERIVED	C196 x C197	fn:bred_credit
C199	total value per fusion, with breeding	162.4	MeV	DERIVED	C133 + C198	fn:total_bred
C200	factor by which breeding exceeds the neutron's heat	9.9	x	DERIVED	C198 / C58	fn:bred_over_heat
C201	balance at demonstrated cycles and a real front end	0.66	dimensionless	DERIVED	C44 x C199 / C18	fn:q_demo_real
C202	balance at demonstrated cycles with the sec.5.9 collector	1.97	dimensionless	DERIVED	C44 x C199 / (C100 / 0.9)	fn:q_demo_collector
C203	balance at phi=3 with the sec.5.9 collector	2.32	dimensionless	DERIVED	C152 x C199 / (C100 / 0.9)	fn:q_phi3_collector
C204	review's cycle count, unpolarized	148	cycles	SOURCED	arXiv:2605.26432 Table I	none
C205	review's cycle count, ultimate theoretical	873	cycles	SOURCED	arXiv:2605.26432 Table I	none
C206	review's cycle rate, ultimate theoretical	5.5e8	s^-1	SOURCED	arXiv:2605.26432 Table I	none
C207	review's sticking, engineering-limit optimized	0.0008	fraction	SOURCED	arXiv:2605.26432 Table I	none
C208	review's transfer rate claim, low end	1e5	s^-1	SOURCED	arXiv:2605.26432 sec.II.B -- an error, see sec.5.17	none
C209	review's cycle count at its unity crossing	292	cycles	SOURCED	arXiv:2605.26432 Table I, fully polarized optimistic	none
C210	neutron multiplication, upper of the assumed band	1.8	per source	RECONSTRUCTED	blanket with a multiplier	none
C211	sourced blanket energy multiplication	1.6	x neutron energy	SOURCED	fission-suppressed fusion-breeder design	collector.BLANKET_MULT_SOURCED
C212	sourced fissile atoms per fusion	0.6	per fusion	SOURCED	fission-suppressed fusion-breeder design	collector.FISSILE_PER_FUSION
C213	sourced tritium breeding ratio	1.15	per fusion	SOURCED	fission-suppressed design, self-sufficient	collector.TBR_SOURCED
C214	thermal per fusion, sourced blanket	26.06	MeV	DERIVED	C59 + C211 x C58	fn:therm_sourced
C215	overall energy multiplication, sourced	1.482	x	DERIVED	C214 / C01	fn:mult_sourced
C216	conservatism of the paper's own arithmetic	1.164	x	DERIVED	C214 / C133	fn:conservatism
C217	work per fusion, sourced blanket at 1200 K	19.55	MeV	DERIVED	C214 x C174	fn:work_sourced
C218	thermal gain at the bound case, sourced	0.445	dimensionless	DERIVED	C176 x C214 / C100	fn:tq_sourced
C219	work gain at the bound case, sourced	0.334	dimensionless	DERIVED	C176 x C217 / C100	fn:wq_sourced
C220	total value per fusion, sourced with breeding	146.06	MeV	DERIVED	C214 + C212 x C196	fn:total_sourced
C221	breeding balance, demonstrated cycles with collector	1.77	dimensionless	DERIVED	C44 x C220 / (C100 / 0.9)	fn:qb_demo
C222	breeding balance at the bound case	2.49	dimensionless	DERIVED	C176 x C220 / C100	fn:qb_bound
C223	in-flight d-t rate at liquid density	2.8e4	s^-1	SOURCED	CoMD, arXiv:physics/0605206; independent approach 0.5e5	collector.LAMBDA_INFLIGHT
C224	in-flight route slower than the molecular one	9286	x	DERIVED	C03 / C223	fn:inflight_ratio
C225	cycles per binder in flight at phi=8.5	0.510	cycles	DERIVED	N(C223, C113, C169)	fn:N_inflight
C226	sticking estimate, d+t, adiabatic case	5.60	percent	SOURCED	arXiv:physics/0605206 CASE 1	none
C227	sticking estimate, t+t, adiabatic case	7.84	percent	SOURCED	arXiv:physics/0605206 CASE 1	none
C228	sticking estimate, d+d to 3He+n, adiabatic case	32.4	percent	SOURCED	arXiv:physics/0605206 CASE 1	none
C229	measured muon-loss temperature range in ddmu	790	K	SOURCED	Bom et al. JETP 96 457 (2003), 85-790 K	none
C230	measured muon-loss temperature range, lower	85	K	SOURCED	Bom et al. JETP 96 457 (2003)	none
C231	resonant stripping wavelength, ground state	0.11	nm	SOURCED	arXiv:physics/0605206, muonic helium fundamental	none
C232	resonant stripping wavelength, first excited state	0.44	nm	SOURCED	arXiv:physics/0605206	none
C233	in-flight rate, independent approach	0.5e5	s^-1	SOURCED	arXiv:physics/0605206 citing Melezhik Nucl Phys A 550 223	none
C234	muonic helium 1s binding energy	10.9	keV	MEASURED	the paper's own provenance list	none
C235	photoionisation threshold wavelength	0.1137	nm	DERIVED	1239.8 eV nm / C234	fn:thresh_nm
C236	hydrogenic photoionisation cross-section, electron scale	6.3e-18	cm2	SOURCED	at threshold, standard	none
C237	photoionisation cross-section, muonic helium	3.68e-23	cm2	DERIVED	C236 / (C15^2 x 4)	fn:sigma_muhe
C238	sustained intensity to match binder decay	2.21e13	W/cm2	DERIVED	C02 / C237 x C234	fn:intensity_match
C239	sustained intensity to strip 95 percent	4.74e14	W/cm2	DERIVED	1e7 / C237 x C234	fn:intensity_95
C240	XFEL peak intensity, low end	1e18	W/cm2	SOURCED	femtosecond pulses	none
C241	XFEL duty cycle	1e-9	fraction	SOURCED	femtosecond pulses at typical repetition	none
C242	published front-end clear bore	150	mm	SOURCED	20 T target solenoid, muon collider front end	none
C243	published capture cap for that bore	225	MeV/c	SOURCED	stated for the 150 mm clear bore at 20 T	none
C244	model prediction for that bore	225	MeV/c	DERIVED	0.3 x 20 T x 0.075 m / 2	fn:model_225
C245	coil bore demanded by shielding	1	m	SOURCED	muon collider target and decay capture solenoids	none
C246	assumed coil inner radius	0.50	m	RECONSTRUCTED	from a 1 m bore	none
C247	fast-neutron attenuation length in tungsten	5.5	cm	RECONSTRUCTED	removal cross-section scale	none
C248	shield thinning required by the specification	5.5	cm	DERIVED	C246 - C145 less C246 - 7.5 cm	fn:shield_thinning
C249	coil heating penalty of the specification	2.7	x	DERIVED	exp(C248 / C247)	fn:heating_penalty
C250	coil bore increase at fixed heating	11	percent	DERIVED	C248 / C246	fn:bore_increase
C251	collection needed, electricity, bound case	299.6	percent	DERIVED	C100 / (C176 x C217)	fn:eta_elec_bound
C252	collection needed, electricity, phi=3	321.6	percent	DERIVED	C100 / (C152 x C217)	fn:eta_elec_phi3
C253	collection needed, heat, bound case	224.7	percent	DERIVED	C100 / (C176 x C214)	fn:eta_heat_bound
C254	collection needed, heat, phi=3	241.2	percent	DERIVED	C100 / (C152 x C214)	fn:eta_heat_phi3
C255	collection needed, bred fuel, bound case	40.1	percent	DERIVED	C100 / (C176 x C220)	fn:eta_bred_bound
C256	collection needed, bred fuel, phi=3	43.0	percent	DERIVED	C100 / (C152 x C220)	fn:eta_bred_phi3
C257	collection needed, bred fuel, demonstrated cycles	50.8	percent	DERIVED	C100 / (C44 x C220)	fn:eta_bred_demo
C258	product choice, in collector specification	7.5	x	DERIVED	C251 / C255	fn:product_ratio
C259	bred fuel at demonstrated cycles against today's front end	1.69	x	DERIVED	C257 / C106	fn:demo_vs_frontend
C260	collection efficiency the sec.5.9 collector targets	90	percent	DESIGN	sec.5.9, acceptance of 20 T on a 13 cm clear bore	none
C261	heat balance, bound case, at the sec.5.9 collector	0.401	dimensionless	DERIVED	C176 x C214 / (C100 / 0.9)	fn:q_heat_bound_c90
C262	heat balance, phi=3, at the sec.5.9 collector	0.373	dimensionless	DERIVED	C152 x C214 / (C100 / 0.9)	fn:q_heat_phi3_c90
C263	heat balance, demonstrated cycles, at the sec.5.9 collector	0.316	dimensionless	DERIVED	C44 x C214 / (C100 / 0.9)	fn:q_heat_demo_c90
C264	work balance, bound case, at the sec.5.9 collector	0.300	dimensionless	DERIVED	C176 x C217 / (C100 / 0.9)	fn:q_work_bound_c90
C265	work balance, demonstrated cycles, at the sec.5.9 collector	0.237	dimensionless	DERIVED	C44 x C217 / (C100 / 0.9)	fn:q_work_demo_c90
C266	breeding balance, bound case, at the sec.5.9 collector	2.25	dimensionless	DERIVED	C176 x C220 / (C100 / 0.9)	fn:q_bred_bound_c90
C267	heat balance, bound case, at today's front end	0.134	dimensionless	DERIVED	C176 x C214 / (C100 / C106)	fn:q_heat_bound_fe
C268	breeding balance, bound case, at today's front end	0.75	dimensionless	DERIVED	C176 x C220 / (C100 / C106)	fn:q_bred_bound_fe
C269	breeding balance, demonstrated cycles, at today's front end	0.591	dimensionless	DERIVED	C44 x C220 / (C100 / C106)	fn:q_bred_demo_fe
C270	HARP forward band, upper momentum edge	6.50	GeV/c	SOURCED	HARP forward pi- production tables	none
