id	phase	status	size	reader_facing	triaged	title	source
B-N3	-	DONE	S	no	yes	r2-reg7a successor printing len(pos) instead of '1,635'	method/DEF-153N-PENDING.md, §A literal in prose over a live divisor (L62–70) and L76
B-N4	-	DONE	S	no	yes	r2-ch19b successor with A.19's rank-table sub-window re-anchored	method/DEF-153N-PENDING.md, L21–22 and L77
B-N5	-	DONE	S	no	yes	kinds and r2-regsweep re-taken with reg1-04	method/DEF-153N-PENDING.md, §What waits (L74)
B-N6	6	OPEN	S	no	yes	Label-successor pass for hard-coded L-numbers in instrument prose strings	method/DEF-153N-PENDING.md, §Repaired at W-235 (L105–108)
B-N7	-	DONE	S	no	yes	r2-ch17e2's stale literal index M[6999]; golden held	method/DEF-153N-PENDING.md, L18 and L51–55; WORKING-REGISTER W-232 (L8306)
C-01	2	OPEN	S	yes	yes	Register 1836 (Request-3 bracket result) drafted, not seated — three rulings wanted	method/DRAFT-R3-LEAD-bracket.md L1, L15–22; method/DEF-153O-PENDING.md L123–125; DOCKET.md L488
C-02	4	OPEN	L	yes	yes	Mathematical Compendium lacks a bracket-system object (MC-55)	method/DRAFT-R3-LEAD-bracket.md L7–8, L17 (entry body), L21–22; method/DRAFT-Q5-06-owed-expansions.md L92–96
C-03	0	OPEN	S	yes	yes	Entry 1797 (agreement theorem's 'only if' counterexample) staged, neither seated nor withdrawn	method/REGISTER-QUEUE-APPEND-cypher-audit.md L51–53; method/HANDOFF-152-RESUME.md L89; method/DEF-153P-PENDING.md L43
C-04	0	OPEN	M	yes	yes	Docket 20x-04 / 20x-09: which languages there are	method/REGISTER-QUEUE-APPEND-cypher-audit.md L102 (W-190 Segment A)
C-05	0	OPEN	S	yes	yes	Register 1177's geometry percentages cannot be checked (Λ_spectra's superseded state lost)	method/REGISTER-QUEUE-APPEND-cypher-audit.md L105 (W-190 'Not done, by design')
C-06	3	OPEN	M	yes	yes	Violation index not built; its printed definition gives 18,792 cells at E = 648 vs recorded 2,370 at E = 30	method/REGISTER-QUEUE-APPEND-cypher-audit.md L105
C-07	3	OPEN	S	yes	yes	The 3-D calendar's weekday mapping is not stated in the volumes	method/REGISTER-QUEUE-APPEND-cypher-audit.md L105
C-08	6	OPEN	S	no	yes	Λ₃ not runnable — its E = 0 rests on a certificate, not enumeration	method/REGISTER-QUEUE-APPEND-cypher-audit.md L105
C-09	0	OPEN	S	yes	yes	Four R3 decisions taken without a ruling that M may reverse	method/DEF-153O-PENDING.md L16–22
C-10	3	OPEN	S	yes	yes	Registers 1019/1020 against §10.4e carried NEAR; Appendix G row 10.4d unread	method/DEF-153O-PENDING.md L26; WORKING-REGISTER.md L8182
C-11	0	OPEN	S	yes	yes	28a-09 unruled: register 1736's 'never listed' falsified by Janet 1928/1929	method/DEF-153O-PENDING.md L27; WORKING-REGISTER.md L7995, L8196
C-12	0	OPEN	M	yes	yes	Register 1721's ten owner-groups against seven closures; audit-7 ledger not a member	method/DEF-153O-PENDING.md L28; WORKING-REGISTER.md L8011
C-13	3	OPEN	S	yes	yes	reg1-E: ten grouped Register headings against docket 30's seven	method/DEF-153O-PENDING.md L78
C-14	4	OPEN	L	yes	yes	Mathematical Compendium prints 137 handles that resolve nowhere (census mc 387–672)	method/DEF-153O-PENDING.md L22, L29
C-15	-	DUP of A-G1	S	yes	yes	DEF-153G-1 Appendix D row split awaits M's structural-vs-content ruling	method/DEF-153O-PENDING.md L56–57; method/DEF-153G-PENDING.md L3–22
C-16	0	OPEN	M	yes	yes	'N objects rest on it' record-carried for the corridor law and Λ_phys's twenty-seven	method/DEF-153O-PENDING.md L52–56
C-17	6	OPEN	L	no	yes	Held goldens owing successors: r2-26b, r2-ch18b, r2-ch23a/b, r2-reg11a2, r2-reg12b; r3-wl2 without a golden	method/DEF-153O-PENDING.md L64–67, L73–75, L86–87; method/HANDOFF-152-RESUME.md L84–92; tools/gate_live.py HELD table
C-18	6	OPEN	M	no	yes	Archive pass over superseded goldens (red by design) and r2-28b3.py with no golden — M's ruling	method/DEF-153O-PENDING.md L64–67; WORKING-REGISTER.md L8222
C-19	-	DUP of D-07	M	yes	yes	22 C13-HANDLE-LEAK census rows in Register entries 1805–1832 closed as defects; repair owed to the class	method/DRAFT-R3-CENSUS.md L60–63; method/DEF-153O-PENDING.md L41, L141; method/HANDOFF-152-RESUME.md L38–41
C-20	5	OPEN	M	yes	yes	14 new C9-OVERGENERALISATION-WORD rows (ids 1558–1609) with no closure verdict	method/DRAFT-R3-CENSUS.md L64–67
C-21	5	OPEN	S	yes	yes	9 new C7 rows: withdrawn numbers survive inside W-220's own pointers	method/DRAFT-R3-CENSUS.md L68–71
C-22	5	OPEN	S	yes	yes	6 new C8-NAMED-STATEMENT rows: names new entries coin that main never sets out	method/DRAFT-R3-CENSUS.md L72–73
C-23	-	DONE	S	no	yes	Census blind spot: cross-volume § pointers flagged C1 by census2.py	method/DRAFT-R3-CENSUS.md L74–76, L116–117
C-24	5	OPEN	L	no	yes	724 of 1,557 census ids closed by neither the live closure files nor ARCHIVE1's	method/DEF-153Q-PENDING.md L14–16
C-25	2	OPEN	L	yes	yes	Chat-witnessed retractions: entries 230, 314, 599, 807, 1148, 1395, 1450, 1461, 1595, 1628 assert what a chat withdrew	method/DEF-153P-PENDING.md L32–39, L85–87; method/DEF-153R-PENDING.md L29–30, L63–65; method/RUL-153-PENDING.md L90–91, 
C-26	3	OPEN	M	yes	yes	'Not a lattice' (PO-0158): main §14 and Law 3 refute lattice-hood from sublattice failures	method/DEF-153P-PENDING.md L25–26
C-27	3	OPEN	S	yes	yes	'The whole tower' (PO-0091) scope at Figure 21.1 / §21.5.3 and register 1790's owed caption	method/DEF-153P-PENDING.md L27–28, L86
C-28	2	OPEN	S	yes	yes	Kitagawara & Barut 1983 before Belokolos (register 1450): priority attribution not docketed	method/DEF-153P-PENDING.md L30–31; method/DEF-153R-PENDING.md L25
C-29	-	DUP of C-25	S	yes	yes	The fetch cache (registers 1595, 1628): correction only in recovered URLS-SUPPLIED.md	method/DEF-153R-PENDING.md L26
C-30	0	OPEN	L	yes	yes	PROSE-ONLY: 1,168 statements held only in chat prose need M's triage	method/DEF-153P-PENDING.md L58–62
C-31	6	OPEN	S	no	yes	Consolidation branch unmerged; CLAUDE.md conflicts in two hunks	method/DEF-153P-PENDING.md L70–72; method/DEF-153O-PENDING.md L125–128
C-32	6	OPEN	S	no	yes	Consolidation-branch docs still say chapter 12–15 members are held nowhere	method/DEF-153R-PENDING.md L52–56; method/DEF-153Q-PENDING.md L10–12
C-33	6	OPEN	M	no	yes	Drive reconciliation owed: Drive at BUILD184, repository at BUILD110/BUILD231	method/HANDOFF-152-RESUME.md L96–100; method/README.md L216–217
C-34	6	OPEN	S	no	yes	gate.py manifest's MAIN constant names BUILD90; --main must always be passed	method/HANDOFF-152-RESUME.md L72–74
C-35	3	OPEN	S	yes	yes	MV-DEF-01: §10.4 leaf subscripts vs one-based coordinates, held to the prose run	method/DEF-153O-PENDING.md L91–92; DOCKET.md L483; WORKING-REGISTER.md L8299
C-36	3	OPEN	S	yes	yes	Reader draft 14A keeps 'a coupling axis costs more', withdrawn by register 504	method/DEF-153O-PENDING.md L103–104; method/DRAFT-Q5-06-owed-expansions.md L13–14; DOCKET.md L487
C-37	2	OPEN	S	yes	yes	The seed's lower bound 5 (§14.5.9's table) is stated in no Register entry	method/DRAFT-Q5-06-owed-expansions.md L35, L13
C-38	3	OPEN	S	yes	yes	§14.6.3 prints 'six modular objects await two unread sources' against register 527's eight	method/DRAFT-Q5-06-owed-expansions.md L40
C-39	3	OPEN	M	yes	yes	§14.5.12–§14.5.14: 13j-01's false heading, and no pointers to 1833–1835	method/DRAFT-Q5-06-owed-expansions.md L98–101, L12, L81, L85
C-40	6	OPEN	L	yes	yes	Register 1835's d-shell seed 10 (no 9-cover) and p→p 'forced at exact minimum only' not re-derived	method/DRAFT-Q5-06-owed-expansions.md L67–69, L85
C-41	3	OPEN	S	yes	yes	Register 1448 not yet tied to 1332 — the structural pointer edit the chat-153 ruling was made for	method/RUL-153-PENDING.md L4–5, L45–50
C-42	3	OPEN	L	yes	yes	The prose pass (RUL-128 item 1) has not run; many findings are routed to it	method/HANDOFF-152-RESUME.md L96; DOCKET.md L483–487; method/DRAFT-Q5-06-owed-expansions.md L14, L98
D-01	3	OPEN	L	yes	yes	Heading-only sections: §14.5.2–§14.5.7, §2.22, §14.4 and kin	method/members/DOCKET.md L57-62 (item 1); L147 (chat 128); L209 (chat 132); L304 (chat 141, 28a-03)
D-02	-	DONE	L	yes	yes	Withdrawn-law class HELD; r3-wl re-take	method/members/DOCKET.md L147-148 (chat 128 delta); L452-453 (chat 151-R third delta)
D-03	2	OPEN	M	yes	yes	Missing Register entries: §18.4.1 refinement, §18.5 pole correction, L9326, Thm 11.1	method/members/DOCKET.md L63-64 (item 2); L372 (chat 150, 26b-09)
D-04	2	OPEN	S	yes	yes	No Register entry for the correction §23.10.2 cites (14n-A3)	method/members/DOCKET.md L65 (item 3)
D-05	1	OPEN	M	yes	yes	The σ collision: Rule 4 L6047 vs §22.5 L6168	method/members/DOCKET.md L66 (item 4)
D-06	3	OPEN	L	yes	yes	Ruling 45 class: first-person and session-narrating prose, 133+ members	method/members/DOCKET.md L67-70 (item 5); L167, L183, L212, L224, L241, L262, L271, L282, L291, L297, L307, L328, L451 (
D-07	4	OPEN	L	yes	yes	Ruling 46 class: build, file, chat and instrument handles in reader-facing text	method/members/DOCKET.md L71-72 (item 6); L180 (17e-01); L298 (27b-01); L313 (chat 142 MC site); L373 (26b-10); L419 (re
D-08	3	OPEN	L	yes	yes	Pointer class (a): forty-five off-by-one / wrong-target citations plus additions	method/members/DOCKET.md L74-79 (item 9(a)); L198, L237, L250, L259, L267-268, L277, L287, L296, L304, L338 (deltas)
D-09	3	OPEN	L	yes	yes	Pointer class (b): citations whose target says nothing of the claim	method/members/DOCKET.md L74-79 (item 9(b)); L180, L209, L238, L267, L277-278, L287-288, L296, L298, L304, L370, L380-38
D-10	2	OPEN	M	yes	yes	Pointer class (c): cited Register numbers with no entry, unheaded numbers	method/members/DOCKET.md L74-79 (item 9(c)); L180 (17e-01); L262, L268, L304 (28a-01); L312 (chat 142); L328 (scf-A-03);
D-11	3	OPEN	S	yes	yes	Pointer class (d): an event with four attributed homes; §11.7's self-citation	method/members/DOCKET.md L74-79 (item 9(d))
D-12	1	OPEN	L	yes	yes	Unprinted-input class: sixty figures printed without their inputs	method/members/DOCKET.md L80 (item 10); L279 (91.338 eV); L340 (14z-15); L354 (chat 147)
D-13	0	OPEN	M	yes	yes	The 32/11 scope docket (14j-01) against 4ν/3	method/members/DOCKET.md L81-82 (item 11); L225, L242, L251, L263 (added sites)
D-14	1	OPEN	M	yes	yes	Truncation-printed-as-equality class; 16z-04 wrong at the fifth decimal	method/members/DOCKET.md L83-85 (item 12); L198 (18a-03); L271 (1,585-fold); L319 (34re-01); L361 (25b-03)
D-15	3	OPEN	S	yes	yes	Unsourced counts: L6517, L7507, L9188, 'thirty-seven objects'	method/members/DOCKET.md L86 (item 13); L296 (27a-04)
D-16	1	OPEN	L	yes	yes	Main-volume / compendium contradiction class	method/members/DOCKET.md L87-91 (item 14); L149, L165, L221, L236, L250, L258, L266, L295, L319 (deltas)
D-17	3	OPEN	L	yes	yes	Retired-basis / narrated-past-state class	method/members/DOCKET.md L92-94 (item 15); L236, L288, L297, L304, L336, L470 (deltas)
D-18	3	OPEN	M	yes	yes	Edlén dating docket and name/year-form sweep	method/members/DOCKET.md L95 (item 16); L304 (28a-07); L410 (28a-09)
D-19	1	OPEN	L	yes	yes	Single-witness class	method/members/DOCKET.md L96-97 (item 17); L182, L200, L213, L222, L237, L263, L272, L280, L290, L304, L364 (deltas)
D-20	3	OPEN	S	yes	yes	Heading sentences finishing in the body (14q-06)	method/members/DOCKET.md L98 (item 18)
D-21	1	OPEN	M	yes	yes	False-universal and superlative class, grown by 14 new C9 rows	method/members/DOCKET.md L99-101 (item 19); L150, L199, L221, L319, L374, L385 (deltas)
D-22	3	OPEN	M	yes	yes	Absent-member class — re-measure notation-tolerantly before repairing	method/members/DOCKET.md L102-105 (item 20); L236, L278, L296 (deltas)
D-23	1	OPEN	M	yes	yes	End-rule overstatement at twenty-three sites (14v-07)	method/members/DOCKET.md L106 (item 21)
D-24	3	OPEN	S	yes	yes	§24.12 must name the sequence member D is computed on (14v-08)	method/members/DOCKET.md L107 (item 22)
D-25	3	OPEN	L	yes	yes	Caption-corrected-but-not-the-prose class: ten members still unpropagated	method/members/DOCKET.md L108-110 (item 23); L147, L221, L236, L258, L269, L277-278, L287, L363, L380-383, L458, L469 (d
D-26	4	OPEN	M	yes	yes	Compendium data defects: spectra L562, nine duplicated keys, IoI L2021, 'interiority', SC L126	method/members/DOCKET.md L111 (item 24); L295, L297 (27a-01, 27a-05); L312 (warn-05)
D-27	1	OPEN	M	yes	yes	Inherited-estimate class (14z-02) never swept	method/members/DOCKET.md L112 (item 25)
D-28	3	OPEN	M	yes	yes	Spliced-text class: 15b-01/02, 16v-06, 23b-02, 28b-02 lead-in, L7614/L7599	method/members/DOCKET.md L113 (item 26); L262 (23b-02); L304 (28b-02); L365 (L7614)
D-29	3	OPEN	S	yes	yes	Duplicated section §9.2 = §27.5.1 (15d-01)	method/members/DOCKET.md L114-115 (item 27)
D-30	3	OPEN	M	yes	yes	Table and heading formatting pass (15d-04) over the standing list	method/members/DOCKET.md L116-117 (item 28); L152, L166, L241, L262, L269, L280, L298, L304, L328 (deltas)
D-31	6	OPEN	S	no	yes	build.py's five dead Register SUBS anchors need a successor member (census.py half done)	method/members/DOCKET.md L152 (chat 128 delta, item 28 / press)
D-32	-	DONE	S	yes	yes	Register front-matter counts (reg1-04) repaired at register 1815 / BUILD102	method/members/DOCKET.md L119-120 (item 30); L238 (21a-08); L433, L440-441, L449 (reg1-04)
D-33	3	OPEN	M	yes	yes	Chapter 28 item-numbering pass (15g-01, 16z-07, 25b-08, 25b-09)	method/members/DOCKET.md L121-122 (item 31); L363 (25b-08, 25b-09)
D-34	3	OPEN	M	yes	yes	Placeholder-heading class (24b-02, 27b-03, 28b-02, 28b-04)	method/members/DOCKET.md L123 (item 32); L268, L298, L304
D-35	3	OPEN	M	yes	yes	§3 audit numbering, 'the twenty-two audits' untested, item R missing from E.3 (25a-01)	method/members/DOCKET.md L124-125 (item 33); L277 (25a-01)
D-36	1	OPEN	L	yes	yes	Arithmetic-convention class: some thirty printed counts with unnamed conventions	method/members/DOCKET.md L126-128 (item 34); L149, L164, L181, L198, L213, L222, L236, L250, L258, L266, L277, L287, L29
D-37	1	OPEN	L	yes	yes	Withdrawn-figure-re-asserted class: read every WARNING'd entry against its volume sites	method/members/DOCKET.md L129-132 (item 35); L221, L236, L258, L266, L277-278, L287, L311, L319, L384 (deltas)
D-38	3	OPEN	M	yes	yes	References roll: 33 cited-unbibliographed, 4 bibliographed-uncited, Madelung homeless (28b-01)	method/members/DOCKET.md L133-138 (item 36); L151, L166, L182, L272, L298, L304 (28b-01), L328 (scf-A-04), L417 (Madelun
D-39	1	OPEN	L	yes	yes	Chapter 34 walk figures and E.1.4's sentence reproduce under no named convention	method/members/DOCKET.md L139-143 (item 37); L157, L183, L262, L270, L319-320, L343, L351-352 (deltas)
D-40	6	OPEN	L	yes	yes	Löwdin 1701–1712 and three-body 1713–1724 rest on instruments not in the bundle	method/members/DOCKET.md L157-158 (chat 128, item 38); L184-185 (chat 130); L320 (chat 143); L329 (chat 144); L346 (chat
D-41	2	OPEN	M	yes	yes	Intake drafts 1795–1798 (READ-intake1.md §C) unseated and their numbers spent	method/members/DOCKET.md L185 (chat 130 delta); L452 (Ruling on entry numbers)
D-42	-	DONE	L	yes	yes	§2.21 readout class qualified at register 1813; seating route declined by decision	method/members/DOCKET.md L470 (chat 152 delta, 32a-03); L462 (chat 153-R)
D-43	6	OPEN	S	no	yes	Register 375's 'computed by the press at every build' never exercised	method/members/DOCKET.md L386 (chat 151-B delta)
D-44	3	OPEN	M	yes	yes	Budget figures with no instrument: 396's E(Q)=5, 212's fifteen, §32.2's seven, E.4.1's eight, §28.7.5's thirty-one	method/members/DOCKET.md L354 (chat 147); L364 (chat 148)
D-45	6	OPEN	S	yes	yes	Muon figures in References: one site, no instrument, not in Register 319 (28a-04)	method/members/DOCKET.md L304 (chat 141 delta, 28a-04)
D-46	4	OPEN	L	yes	yes	Mathematical Compendium's handle vocabulary stated nowhere (137 of 265 resolve in no volume)	method/members/DOCKET.md L463 (chat 153-R delta)
D-47	3	OPEN	M	yes	yes	Register emphasis class: R3-CLASS-EM (246 repairs) held; register_review.py not a member	method/members/DOCKET.md L426-427 (chat 151-R delta, reg13-01)
D-48	0	OPEN	M	yes	yes	Entry 1725 does not exist; reinstating any of the 110 recovered withdrawn entries is M's ruling	method/members/DOCKET.md L428 (chat 151-R delta, reg1-05)
D-49	6	OPEN	M	no	yes	r2-26b2 (a reading, not a re-bank) still owed	method/members/DOCKET.md L453 (chat 151-R third delta); L443 (r2-reg1a)
D-50	2	OPEN	M	yes	yes	Entry 1797 (cypher audit, counterexample to 1176) staged, not seated	method/members/DOCKET.md L445 (chat 152 delta carried by 151-R)
D-51	3	OPEN	S	yes	yes	Appendix G residue: 1019/1020 NEAR against row 10.4e; row 10.4d unread	method/members/DOCKET.md L459 (chat 153-R delta)
D-52	3	OPEN	S	yes	yes	MV-DEF-01: §10.4 leaf subscripts zero- vs one-based, to execute when the Chapter 10 rewrite arrives	method/members/DOCKET.md L481-483 (chat 153-R second delta, MV-DEF-01)
D-53	3	OPEN	S	yes	yes	Reader Chapter 14 lead: R-02's counting-axis claim against registers 504 and 511	method/members/DOCKET.md L485-487 (chat 153-R third delta, lead 1)
D-54	2	OPEN	M	yes	yes	Request-3 bracket result: draft 1836 awaits M; register 334 uncited; MC-55 pending	method/members/DOCKET.md L488 (chat 153-R third delta, lead 2)
D-55	3	OPEN	L	yes	yes	Class sweep of the Mathematical, Physics, Spectra Compendia and Index of Indices not executed	method/members/DOCKET.md L425 (chat 151-R delta)
D-56	2	OPEN	M	yes	yes	Sc VI family prediction has no Register entry	method/members/DOCKET.md L338 (chat 145 delta)
D-57	2	OPEN	M	yes	yes	Appendix F withdrawal: 'method ratio' unestablished; 19 removed figures have no Register home	method/members/DOCKET.md L382-384 (chat 151-B delta, 26c-01, 26c-03)
D-58	3	OPEN	S	yes	yes	F.3's rule printed with two extents (L11295 vs L11296–L11298)	method/members/DOCKET.md L371 (chat 150 delta, 26b-11)
D-59	3	OPEN	S	yes	yes	B.3's Si II 0.272 row absent; Register 1774's flag open (20a-03)	method/members/DOCKET.md L221 (chat 133 delta, 20a-03)
D-60	1	OPEN	S	yes	yes	§10.2 caption 'hundredfold' vs prose 'seventeenfold' (L2053/L2033) unscored	method/members/DOCKET.md L237 (chat 134 delta)
D-61	1	OPEN	S	yes	yes	1,585-fold printed vs 1,582.93 at printed precision (two sites) unscored	method/members/DOCKET.md L279 (chat 138 delta)
D-62	-	DUP of D-36	S	yes	yes	Candidate: §29.2.1's 'six of the eleven' counts Register 238's eleven	method/members/DOCKET.md L355 (chat 147 delta)
D-63	-	DUP of D-36	S	yes	yes	Candidate: L962's 'Fifteen more' names no §28.7.x heading	method/members/DOCKET.md L365 (chat 148 delta)
D-64	5	OPEN	S	no	yes	Appendix D part 2: 30 of 42 only-PP lines unread (duplicated-section verdict INFERRED)	method/members/DOCKET.md L263 (chat 136 delta)
D-65	6	OPEN	S	no	yes	intake1-01/04 flagged to the three-body project, no response	method/members/DOCKET.md L183 (chat 130 delta)
D-66	6	OPEN	M	no	yes	Graphify graph stale and holds no Register text	method/members/DOCKET.md L429 (chat 151-R delta)
D-67	-	DONE	S	no	yes	Second BUILD178 copy in Drive Materials, moot since the repository became the store	method/members/DOCKET.md L367 (chat 148 delta)
D-68	6	OPEN	M	no	yes	DOCKET.md index unrewritten since chat 127; twenty-odd appended deltas	method/members/DOCKET.md L3-6 (header); L145 (chat 128 heading)
E-001	3	OPEN	M	yes	yes	Appendix E: 'eight items' vs 'Eleven items' at L10989; K's classification (12j-02); Q item for 12d-01	DEFERRED.md L7 (HANDOFF-25 verbatim, chat 74)
E-002	3	OPEN	M	yes	yes	HANDOFF-24 carry-overs: §32.2 wording, §30.3 in Chapter 2, the D = 5 declines, L7804/L7820 vs §4.4	DEFERRED.md L7 (HANDOFF-25 verbatim)
E-003	4	OPEN	M	yes	yes	MC pass inherits Chapter 12 findings: L1394 'Order dimension', L1304–1310, L1314/1318/1330, L1334, L1074/1354/1364	DEFERRED.md L7 and L16 (chat 75)
E-004	3	OPEN	S	yes	yes	References: Janet and helium-at-2 uncited (28a-09); ionization table's source pointer	DEFERRED.md L7
E-005	3	OPEN	M	yes	yes	Unstated-denominator class: percentages of pairs reproduce only against n(n−1); 24.7 % unreconstructed	DEFERRED.md L7; L1444–1449 (chat 105 15d-03)
E-006	3	OPEN	S	yes	yes	The 27,873 setting and the 975/977 Λ-count variant sites	DEFERRED.md L7
E-007	3	OPEN	S	yes	yes	A.10 ↔ §10.4 reciprocal pointer; §11.1's 'depth of five' vs Register 331	DEFERRED.md L7
E-008	3	OPEN	S	yes	yes	Chapter 6 L1673–1674 (12f-01/02, 'Register 348') and §7.2/§8.5 sites (12i-01/02)	DEFERRED.md L7
E-009	3	OPEN	S	yes	yes	Chapter 12 ordering: 'fourth' (L2779) printed before 'third' (L2838)	DEFERRED.md L7, L18 (chat 75)
E-010	6	OPEN	L	no	yes	The r2lib lift debt: some forty functions copied verbatim, never lifted; r2-ch12c unbanked	DEFERRED.md L11–12, L19, L29, L48, L62, L97, L112, L133, L159, L200–208, L262–270, L347, L385, L448, L497, L557, L614, L
E-011	4	OPEN	S	yes	yes	MC L1736 'The axis density' inherits 12q-01/12r-01; MC L1244 may inherit 12q-04	DEFERRED.md L24–25 (chat 76)
E-012	2	OPEN	S	yes	yes	Successor entries for Registers 434 (12q-03), 241 (12s-02), 1790/L3152 (12q-04, 12s-04)	DEFERRED.md L26 (chat 76)
E-013	3	OPEN	S	yes	yes	Three sites misdirect the four-cap sweep to §12.11.2/§12.11.5 (it is §12.11.1 L3121–3124)	DEFERRED.md L27, L57 (chat 76 §32.1.1; chat 79 13c-02)
