source	member	size_bytes	md5	disposition	target_path	note
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	SPECTRA-2_13.txt	78821	9cc60f2721c69a41792025774966c43c	EXTRACTED	extracted/projects/the-method/SPECTRA-2_13.txt	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	STEPS-2_13.csv	14255	b792c23a1ddf828366e907cc2c81fd83	EXTRACTED	extracted/projects/the-method/STEPS-2_13.csv	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	The Löwdin Challenge	1764	9798cacbe11303006e1343e76dc9121b	EXTRACTED	extracted/projects/the-method/The Löwdin Challenge	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	The Method 1.6 — Mathematical Compendium.md	188768	5f72f29f1e5a70f038d647948f161852	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — Mathematical Compendium-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	The Method 1.6 — Spectra Compendium.md	78292	e29ad247cab5f1e9046c209b0dc146d4	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — Spectra Compendium-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	The Method 1.6 — The Index of Indices.md	89393	1d4b5832adab66140f20d897e73d2607	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — The Index of Indices-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	The Method 1.6 — The Physics Compendium.md	43519	dc9f8e79f202f4111240937cb0a85496	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — The Physics Compendium-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	The Method 1.6 — The Register-4.pdf	1126245	98de49e559426082abc84d95a460bc02	EXTRACTED	extracted/projects/the-method/The Method 1.6 — The Register-4.pdf.txt	stored content is extracted text, not the original binary; .txt appended
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	The Method 1.6-10.pdf	702593	86e60d0ea07f0b69a6b070321853b712	EXTRACTED	extracted/projects/the-method/The Method 1.6-10.pdf.txt	stored content is extracted text, not the original binary; .txt appended
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	The Three-Body Problem	1657	769876dc53e75e79d729c1ab791882ee	EXTRACTED	extracted/projects/the-method/The Three-Body Problem	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	clique3.py	6531	9c66f33734561823c3cbdf7dbd2e895f	EXTRACTED	extracted/projects/the-method/clique3.py	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	p1.py	3985	7cead2d69e1a1bbc0853999bfa3bdd16	EXTRACTED	extracted/projects/the-method/p1.py	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	p1c.py	2075	1fdd55b60a84d76c7396ee2918b3fe12	EXTRACTED	extracted/projects/the-method/p1c.py	
drive/The Method Materials/Claude Projects/019fb977-df47-73ed-a16e-943c1591c491.json	Lach_ColdFusion_HostIdentification_2026-4.docx	24125	a69b7005c140556fcfa712e2557c3f5f	EXTRACTED	extracted/projects/the-method-cold-fusion/Lach_ColdFusion_HostIdentification_2026-4.docx.txt	stored content is extracted text, not the original binary; .txt appended
drive/The Method Materials/Claude Projects/019fb977-df47-73ed-a16e-943c1591c491.json	lach_lattice_cold_fusion.html	31665	aebd32ab977ef3edd58dd9cb79a37bf8	EXTRACTED	extracted/projects/the-method-cold-fusion/lach_lattice_cold_fusion.html	
drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	CODE-LOWDIN-2_13.txt	57780	32d6cf601b40ad255f19bad3999c0974	DUP-OF-EXTRACTED	extracted/projects/the-method/CODE-LOWDIN-2_13.txt	
drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	COORDINATES-2_13.csv	10912381	906d08be19630b6f824ec0164de11773	PRESENT-IN-REPO	drive/The Method Materials/COORDINATES-2_13.csv	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	The 1969 Löwdin Challenge	1237	b560af92993430ae5fec9907175f43a6	EXTRACTED	extracted/projects/the-method-lowdin/The 1969 Löwdin Challenge	
drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	The Method 1.6 — Mathematical Compendium-1.md	188768	5f72f29f1e5a70f038d647948f161852	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — Mathematical Compendium-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	The Method 1.6 — Spectra Compendium-1.md	78292	e29ad247cab5f1e9046c209b0dc146d4	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — Spectra Compendium-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	The Method 1.6 — The Index of Indices-1.md	89393	1d4b5832adab66140f20d897e73d2607	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — The Index of Indices-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	The Method 1.6 — The Physics Compendium-1.md	43519	dc9f8e79f202f4111240937cb0a85496	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — The Physics Compendium-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	The Method 1.6 — The Register-1.md	1145832	96b5fc2aca602a2d6bc899c93686458e	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — The Register.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	The Method 1.6-1.md	738550	49900cf41f818ab789bb90fc596ac977	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	CLAUDE.md	13157	e72d4bc9cd07e1a87f56dd69b8c8886b	PRESENT-IN-REPO	drive/The Method Materials/CLAUDE.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	COORDINATES-2_13.csv	10912381	906d08be19630b6f824ec0164de11773	PRESENT-IN-REPO	drive/The Method Materials/COORDINATES-2_13.csv	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	GENESIS-REGISTER-1-to-94.md	51138	02447bd126797680316add108c472b02	EXTRACTED	extracted/projects/the-method-books-builder/GENESIS-REGISTER-1-to-94.md	
drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	INTEGRATION-transitions.md	16965	f0c1de497f3a38e73cd193a8a22318d4	DUP-OF-EXTRACTED	extracted/archives/restore-point-2-13/archive/transitions/INTEGRATION-transitions.md	
drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	NOTE-to-book-project.md	7578	1292207fc7a18289495acd79722cac0f	EXTRACTED	extracted/projects/the-method-books-builder/NOTE-to-book-project.md	
drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	OWED-EXPANSIONS.md	14550	d049fa07620eca840294678d6d7973f9	PRESENT-IN-REPO	drive/The Method Materials/OWED-EXPANSIONS-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	RESPONSE-TO-METHOD-1_6.md	9705	05f95c17c16f3d40a9d732a3791f7961	EXTRACTED	extracted/projects/the-method-books-builder/RESPONSE-TO-METHOD-1_6.md	
drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	TIMEPAPER-MAP.md	28042	ac2d495d18fdf141e7aefc9731d5fd32	PRESENT-IN-REPO	drive/The Method Materials/TIMEPAPER-MAP-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	The_Method_1_6_BUILD12_compendia_papers_audits-2.md	752285	a417a7aa9e6e6da654039780b5611d4f	EXTRACTED	extracted/projects/the-method-books-builder/The_Method_1_6_BUILD12_compendia_papers_audits-2.md	
drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	The_Method_1_6_BUILD12_main_and_register-2.md	2029435	9d8e72d978923afc7f2cee043de3b50e	EXTRACTED	extracted/projects/the-method-books-builder/The_Method_1_6_BUILD12_main_and_register-2.md	
drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	Transitions-1.md	121691	d850b01992c459837afeaf4ea41e158b	DUP-OF-EXTRACTED	extracted/archives/restore-point-2-13/archive/transitions/Transitions.md	
drive/The Method Materials/Claude Projects/01a0304c-4659-7248-b5e1-bba7bdeea529.json	3 Body Problem Solution - Gemini.docx	12787	bcca708203aae5fec709638b05943338	EXTRACTED	extracted/projects/the-method-three-body-problem/3 Body Problem Solution - Gemini.docx.txt	stored content is extracted text, not the original binary; .txt appended
drive/The Method Materials/Claude Projects/01a0304c-4659-7248-b5e1-bba7bdeea529.json	The Method 1.6 — Mathematical Compendium.md	188768	5f72f29f1e5a70f038d647948f161852	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — Mathematical Compendium-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a0304c-4659-7248-b5e1-bba7bdeea529.json	The Method 1.6 — Spectra Compendium.md	78292	e29ad247cab5f1e9046c209b0dc146d4	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — Spectra Compendium-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a0304c-4659-7248-b5e1-bba7bdeea529.json	The Method 1.6 — The Index of Indices.md	89393	1d4b5832adab66140f20d897e73d2607	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — The Index of Indices-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a0304c-4659-7248-b5e1-bba7bdeea529.json	The Method 1.6 — The Physics Compendium.md	43519	dc9f8e79f202f4111240937cb0a85496	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — The Physics Compendium-1.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a0304c-4659-7248-b5e1-bba7bdeea529.json	The Method 1.6 — The Register.md	1145832	96b5fc2aca602a2d6bc899c93686458e	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6 — The Register.md	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/01a0304c-4659-7248-b5e1-bba7bdeea529.json	The Method 1.6.md	738550	49900cf41f818ab789bb90fc596ac977	PRESENT-IN-REPO	drive/The Method Materials/The Method 1.6.md	byte-identical to a file already tracked
drive/The Method Materials/LOWDIN-DELIVERY-1/LOWDIN-DELIVERY-1-part1.zip	LOWDIN-DELIVERY-1/MANIFEST.tsv	366	cff61f590b071cb42245ac8f26ffa11d	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-MANIFEST.tsv	byte-identical to a file already tracked
drive/The Method Materials/LOWDIN-DELIVERY-1/LOWDIN-DELIVERY-1-part1.zip	LOWDIN-DELIVERY-1/README.md	2764	fe8c1f52c8c6a7920f7b79ee3e359fde	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-README.md	byte-identical to a file already tracked
drive/The Method Materials/LOWDIN-DELIVERY-1/LOWDIN-DELIVERY-1-part1.zip	LOWDIN-DELIVERY-1/ground-run.log	294	6bc5a6196d6de9348b6618fb92d27fe4	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-ground-run.log	byte-identical to a file already tracked
drive/The Method Materials/LOWDIN-DELIVERY-1/LOWDIN-DELIVERY-1-part1.zip	LOWDIN-DELIVERY-1/ground.py	6472	236975ac23aa29960d4f7c2a4d200cd6	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-ground.py	byte-identical to a file already tracked
drive/The Method Materials/LOWDIN-DELIVERY-1/LOWDIN-DELIVERY-1-part1__1twwmD_t7b40irZb_3FIHNkYCKfgyDHVQ.zip	LOWDIN-DELIVERY-1/MANIFEST.tsv	366	cff61f590b071cb42245ac8f26ffa11d	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-MANIFEST.tsv	byte-identical to a file already tracked
drive/The Method Materials/LOWDIN-DELIVERY-1/LOWDIN-DELIVERY-1-part1__1twwmD_t7b40irZb_3FIHNkYCKfgyDHVQ.zip	LOWDIN-DELIVERY-1/README.md	2764	fe8c1f52c8c6a7920f7b79ee3e359fde	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-README.md	byte-identical to a file already tracked
drive/The Method Materials/LOWDIN-DELIVERY-1/LOWDIN-DELIVERY-1-part1__1twwmD_t7b40irZb_3FIHNkYCKfgyDHVQ.zip	LOWDIN-DELIVERY-1/ground-run.log	294	6bc5a6196d6de9348b6618fb92d27fe4	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-ground-run.log	byte-identical to a file already tracked
drive/The Method Materials/LOWDIN-DELIVERY-1/LOWDIN-DELIVERY-1-part1__1twwmD_t7b40irZb_3FIHNkYCKfgyDHVQ.zip	LOWDIN-DELIVERY-1/ground.py	6472	236975ac23aa29960d4f7c2a4d200cd6	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-ground.py	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/LOWDIN-DELIVERY-1-part1.zip	LOWDIN-DELIVERY-1/MANIFEST.tsv	366	cff61f590b071cb42245ac8f26ffa11d	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-MANIFEST.tsv	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/LOWDIN-DELIVERY-1-part1.zip	LOWDIN-DELIVERY-1/README.md	2764	fe8c1f52c8c6a7920f7b79ee3e359fde	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-README.md	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/LOWDIN-DELIVERY-1-part1.zip	LOWDIN-DELIVERY-1/ground-run.log	294	6bc5a6196d6de9348b6618fb92d27fe4	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-ground-run.log	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/LOWDIN-DELIVERY-1-part1.zip	LOWDIN-DELIVERY-1/ground.py	6472	236975ac23aa29960d4f7c2a4d200cd6	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/LW1-ground.py	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/MANIFEST.tsv	1840	2b72f68c7ebf7b595a640976616a5f8c	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-MANIFEST.tsv	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/README.md	6956	809c86f4a75d6493e5327ddb93b1f7fa	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-README.md	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/audit.log	1620	3cc67acaa9d90d25c8c194c57a8772ff	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-audit.log	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/audit.py	4792	f12c16616d4e37dfbcb98e0b2c56ee16	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-audit.py	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/audit_state1_failing.log	1633	4cfc454dbf2403957caf9e5d5667f390	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-audit_state1_failing.log	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/audit_state1_failing.py	4849	1f5c97feb5162410dc0ea96ef75de186	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-audit_state1_failing.py	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/caps_table.log	271	bd87625108e27455c0948d988a369cfd	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-caps_table.log	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/caps_table.py	618	f72a997b8deec05c3a68b77c3f69e8c9	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-caps_table.py	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/fig1_shape_sphere.png	183331	65950967081a64f0574e376880332b12	PRESENT-IN-REPO	drive/The Method Materials/THREEBODY-DELIVERY-1/fig1_shape_sphere.png	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/fig2_closure_defect.png	48636	d1e860f916267b355f462b6e728ffc2f	PRESENT-IN-REPO	drive/The Method Materials/THREEBODY-DELIVERY-1/fig2_closure_defect.png	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/fig3_tower.png	59091	28e8b6f3c0de4cd304a51b3a78b6e9d0	PRESENT-IN-REPO	drive/The Method Materials/THREEBODY-DELIVERY-1/fig3_tower.png	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/fig4_equator_potential.png	100653	4b9b16ec1017cec3db3f1ccc704fdba5	PRESENT-IN-REPO	drive/The Method Materials/THREEBODY-DELIVERY-1/fig4_equator_potential.png	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/fig5_constraint_graphs.png	39089	bd1ce4f3d0a54b0ccff6596310a291d7	PRESENT-IN-REPO	drive/The Method Materials/THREEBODY-DELIVERY-1/fig5_constraint_graphs.png	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/figs.log	222	18c3d762264b498ce42d3e314aed6a0b	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-figs.log	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/figs.py	3778	ec889beba73204de8972599f1828937f	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-figs.py	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/figs2.py	2007	c3fcb0be0263bf799f5512ff02479245	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-figs2.py	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/n8_check.log	1221	5d140ad0c7cf1b0d26b7482d82bc35e1	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-n8_check.log	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/n8_check.py	1719	ab823f22180baa476b623e0f55ae8c06	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-n8_check.py	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/routh_check.log	90	3fa04ee0f0b05e8246bd9eb119d8dd1d	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-routh_check.log	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1.zip	THREEBODY-DELIVERY-1/routh_check.py	366	23842800b311327175ecdd0ef311473b	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-routh_check.py	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1__1VrPq6GJe0ofakp1b_ODAwOn-fwLSMkBf.zip	THREEBODY-DELIVERY-1/MANIFEST.tsv	1840	2b72f68c7ebf7b595a640976616a5f8c	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-MANIFEST.tsv	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1__1VrPq6GJe0ofakp1b_ODAwOn-fwLSMkBf.zip	THREEBODY-DELIVERY-1/README.md	6956	809c86f4a75d6493e5327ddb93b1f7fa	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-README.md	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1__1VrPq6GJe0ofakp1b_ODAwOn-fwLSMkBf.zip	THREEBODY-DELIVERY-1/audit.log	1620	3cc67acaa9d90d25c8c194c57a8772ff	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-audit.log	byte-identical to a file already tracked
drive/The Method Materials/THREEBODY-DELIVERY-1/THREEBODY-DELIVERY-1__1VrPq6GJe0ofakp1b_ODAwOn-fwLSMkBf.zip	THREEBODY-DELIVERY-1/audit.py	4792	f12c16616d4e37dfbcb98e0b2c56ee16	PRESENT-IN-REPO	drive/The Method Materials/CORPUS/TB1-audit.py	byte-identical to a file already tracked
