# Sr I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Sr+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=Sr+I confirmed. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# THREE LIMITS:
#   Sr II (5s 2S<1/2>)   45932.2036   <- the 5s.nl series
#   Sr II (4d 2D<3/2>)   60488.09     <- the 4d.nl series
#   Sr II (4d 2D<5/2>)   60768.43
#
# ** THE LONGEST SINGLET/TRIPLET-PAIRED SERIES IN THE QUEUE. The
#    5s.nl block on ONE limit carries BOTH multiplicities at every n: **
#      s   n = 6..20   3S and 1S at every n
#      p   n = 5..20   3P* and 1P* at every n
#      d   n = 4..20   3D and 1D at every n
#      f   n = 4..20   3F* and 1F* at every n
#
#    ** FOUR l VALUES, SEVENTEEN CONSECUTIVE n, SINGLET AND TRIPLET
#       THROUGHOUT. Register 1622 closed Q.exch because singlet and
#       triplet MIX at high n and could only cite the literature for it.
#       Sr I is seventeen consecutive n of the same pairing in four
#       channels — the place that mixing could be watched directly. **
#
# The 4d.nl block above 45932 sits on the SECOND and THIRD limits and
# turns to jj and Racah notation (2[K], (3/2,5/2)) — refused by R 1576.
#
# ONLY the 5s.nl block and the low LS states are transcribed. The 4d
# block is ~120 rows of jj/Racah the index cannot key.
#
# config	term	J	level_cm1	limit
5s.9f	3F*	2	44544.27	45932.2036
5s.9f	3F*	3	44544.44	45932.2036
5s.9f	3F*	4	44544.63	45932.2036
5s.9f	1F*	3	44556.48	45932.2036
5s.12p	3P*	0	44609.51	45932.2036
5s.12p	3P*	1	44610.85	45932.2036
5s.12p	3P*	2	44613.78	45932.2036
5s.12p	1P*	1	44675.737	45932.2036
5s.11d	1D	2	44578.6890	45932.2036
5s.11d	3D	2	44619.84	45932.2036
5s.13s	3S	1	44747.65	45932.2036
5s.13s	1S	0	44773.6707	45932.2036
5s.10f	3F*	2	44810.53	45932.2036
5s.10f	3F*	3	44810.56	45932.2036
5s.10f	3F*	4	44810.72	45932.2036
5s.10f	1F*	3	44818.77	45932.2036
5s.13p	3P*	0	44858.33	45932.2036
5s.13p	3P*	1	44859.32	45932.2036
5s.13p	3P*	2	44861.46	45932.2036
5s.13p	1P*	1	44903.50	45932.2036
5s.12d	1D	2	44829.6648	45932.2036
5s.12d	3D	1	44854.02	45932.2036
5s.12d	3D	2	44860.06	45932.2036
5s.12d	3D	3	44865.22	45932.2036
5s.14s	3S	1	44960.22	45932.2036
5s.14s	1S	0	44979.4540	45932.2036
5s.11f	3F*	2	45006.93	45932.2036
5s.11f	3F*	3	45006.98	45932.2036
5s.11f	3F*	4	45007.11	45932.2036
5s.11f	1F*	3	45012.82	45932.2036
5s.14p	3P*	0	45043.18	45932.2036
5s.14p	3P*	1	45043.89	45932.2036
5s.14p	3P*	2	45045.54	45932.2036
5s.14p	1P*	1	45075.29	45932.2036
5s.13d	1D	2	45012.0249	45932.2036
5s.13d	3D	1	45028.55	45932.2036
5s.13d	3D	2	45036.95	45932.2036
5s.13d	3D	3	45043.79	45932.2036
5s.15s	3S	1	45120.41	45932.2036
5s.15s	1S	0	45134.9242	45932.2036
5s.12f	3F*	2	45155.92	45932.2036
5s.12f	3F*	3	45156.01	45932.2036
5s.12f	3F*	4	45156.08	45932.2036
5s.12f	1F*	3	45160.29	45932.2036
5s.15p	3P*	0	45183.93	45932.2036
5s.15p	3P*	1	45184.54	45932.2036
5s.15p	3P*	2	45185.79	45932.2036
5s.15p	1P*	1	45207.83	45932.2036
5s.14d	1D	2	45153.2785	45932.2036
5s.14d	3D	1	45159.60	45932.2036
5s.14d	3D	2	45171.49	45932.2036
5s.14d	3D	3	45180.44	45932.2036
5s.16s	3S	1	45243.88	45932.2036
5s.16s	1S	0	45255.2295	45932.2036
5s.13f	3F*	3	45271.69	45932.2036
5s.13f	3F*	2	45271.72	45932.2036
5s.13f	3F*	4	45271.78	45932.2036
5s.13f	1F*	3	45274.97	45932.2036
5s.16p	3P*	1	45294.22	45932.2036
5s.16p	3P*	2	45295.21	45932.2036
5s.16p	1P*	1	45311.99	45932.2036
5s.15d	1D	2	45263.6196	45932.2036
5s.15d	3D	1	45260.84	45932.2036
5s.15d	3D	2	45276.65	45932.2036
5s.15d	3D	3	45286.53	45932.2036
5s.17s	3S	1	45341.28	45932.2036
5s.17s	1S	0	45350.2296	45932.2036
5s.14f	3F*	2	45363.22	45932.2036
5s.14f	3F*	4	45363.35	45932.2036
5s.14f	3F*	3	45363.43	45932.2036
5s.14f	1F*	3	45365.90	45932.2036
5s.17p	3P*	1	45381.46	45932.2036
5s.17p	3P*	2	45382.26	45932.2036
5s.17p	1P*	1	45395.34	45932.2036
5s.16d	1D	2	45362.1272	45932.2036
5s.16d	3D	1	45341.36	45932.2036
5s.16d	3D	2	45350.35	45932.2036
5s.16d	3D	3	45370.76	45932.2036
5s.18s	3S	1	45419.29	45932.2036
5s.18s	1S	0	45426.5505	45932.2036
5s.15f	3F*	2	45437.09	45932.2036
5s.15f	3F*	3	45437.10	45932.2036
5s.15f	3F*	4	45437.11	45932.2036
5s.15f	1F*	3	45439.16	45932.2036
5s.18p	3P*	1	45451.87	45932.2036
5s.18p	3P*	2	45452.53	45932.2036
5s.18p	1P*	1	45463.02	45932.2036
5s.17d	1D	2	45433.2717	45932.2036
5s.17d	3D	1	45414.43	45932.2036
5s.17d	3D	2	45420.84	45932.2036
5s.17d	3D	3	45439.08	45932.2036
5s.19s	3S	1	45482.89	45932.2036
5s.19s	1S	0	45488.7860	45932.2036
5s.16f	3F*	2	45497.42	45932.2036
5s.16f	3F*	3	45497.43	45932.2036
5s.16f	3F*	4	45497.49	45932.2036
5s.16f	1F*	3	45499.11	45932.2036
5s.19p	3P*	1	45509.65	45932.2036
5s.19p	3P*	2	45510.20	45932.2036
5s.19p	1P*	1	45518.64	45932.2036
5s.18d	1D	2	45492.6101	45932.2036
5s.18d	3D	1	45475.35	45932.2036
5s.18d	3D	2	45479.88	45932.2036
5s.18d	3D	3	45495.02	45932.2036
5s.20s	3S	1	45535.32	45932.2036
5s.20s	1S	0	45540.2024	45932.2036
5s.17f	3F*	2	45547.30	45932.2036
5s.17f	3F*	4	45547.39	45932.2036
5s.17f	3F*	3	45547.41	45932.2036
5s.17f	1F*	3	45548.76	45932.2036
5s.20p	3P*	1	45557.62	45932.2036
5s.20p	3P*	2	45558.00	45932.2036
5s.20p	1P*	1	45565.00	45932.2036
5s.19d	1D	2	45542.2955	45932.2036
5s.19d	3D	1	45527.10	45932.2036
5s.19d	3D	2	45530.18	45932.2036
5s.19d	3D	3	45542.30	45932.2036
5s.20d	1D	2	45584.1831	45932.2036
5s.20d	3D	1	45570.97	45932.2036
5s.20d	3D	2	45573.28	45932.2036
5s.20d	3D	3	45582.36	45932.2036
5s.18f	3F*	2	45589.11	45932.2036
5s.18f	3F*	4	45589.23	45932.2036
5s.18f	3F*	3	45589.25	45932.2036
5s.18f	1F*	3	45590.32	45932.2036
5s.19f	3F*	4	45624.43	45932.2036
5s.19f	3F*	2	45624.48	45932.2036
5s.19f	3F*	3	45624.53	45932.2036
5s.19f	1F*	3	45625.48	45932.2036
5s.20f	3F*	3	45654.56	45932.2036
5s.20f	3F*	4	45654.70	45932.2036
5s.20f	1F*	3	45655.49	45932.2036
