# Hg I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Hg+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=Hg+I confirmed. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# THREE LIMITS:
#   Hg II (6s        2S<1/2>)    84184.15    <- the 5d10.6s.nl series
#   Hg II (5d9.6s2  2D<5/2>)    119700.      <- 5d-hole, J=5/2 parent
#   Hg II (5d9.6s2  2D<3/2>)    134746.      <- 5d-hole, J=3/2 parent
#
# ** THE 5d10.6s.nl BLOCK IS EXCELLENT AND FULLY PAIRED: **
#      s   n =  7..20   3S and 1S at every n
#      p   n =  6..20   3P* (J=0,1,2) and 1P* at every n
#      d   n =  6..20   3D (J=1,2,3) and 1D at every n
#      f   n =  5..21   3F* (J=2,3,4) and 1F* at every n
#      g   n =  5..11   3G and 1G
#
#    FIVE l, FOURTEEN to SEVENTEEN consecutive n, singlet AND triplet
#    throughout. Comparable to Ba I but on a 5d10.6s core rather than
#    a bare 6s2 — the d-shell is CLOSED and filled here.
#
# ** THE 5d-HOLE BLOCKS ABOVE 84184 ARE ENTIRELY RACAH 2[K] ON TWO
#    J-RESOLVED PARENTS, with np running to n=20 on each. Refused by
#    R 1576 and kept separate; they converge on the two higher limits. **
#
# The 5g and higher-g rows repeat one value across 3G and 1G (e.g.
# 7g at 81936 for both) — the same non-resolution Ba I showed, without
# the "u" flag. Marked degenerate.
#
# config	term	J	level_cm1	note
5d10.6s.19p	1P*	1	83694.44	
5d10.6s.18d	1D	2	83690.4	
5d10.6s.18d	3D	2	83692.4	
5d10.6s.18d	3D	1	83692.6	
5d10.6s.18d	3D	3	83694.1	
5d10.6s.16f	1F*	3	83690.0	
5d10.6s.16f	3F*	3	83693.9	
5d10.6s.20s	3S	1	83715.6	
5d10.6s.20s	1S	0	83718.5	
5d10.6s.20p	3P*	0	83744.23	
5d10.6s.20p	3P*	1	83744.23	
5d10.6s.20p	3P*	2	83749.74	
5d10.6s.20p	1P*	1	83753.80	
5d10.6s.19d	1D	2	83750.05	
5d10.6s.19d	3D	2	83752.5	
5d10.6s.19d	3D	3	83752.7	
5d10.6s.19d	3D	1	83753.3	
5d10.6s.17f	1F*	3	83752.0	
5d10.6s.20d	1D	2	83798.1	
5d10.6s.20d	3D	2	83802.4	
5d10.6s.20d	3D	1	83802.8	
5d10.6s.20d	3D	3	83803.0	
5d10.6s.18f	1F*	3	83801.7	
5d10.6s.18f	3F*	3	83802.1	
5d10.6s.18f	3F*	4	83803.4	
5d10.6s.19f	3F*	3	83843.1	
5d10.6s.19f	1F*	3	83843.7	
5d10.6s.20f	3F*	4	83878.2	
5d10.6s.20f	1F*	3	83878.8	
5d10.6s.21f	1F*	3	83906.3	
5d10.6s.21f	3F*	4	83907.1	
5d10.6p2	3P	0	90099.6	two-outside
5d10.6p2	3P	1	93980.0	two-outside
5d10.6p2	3P	2	96190	two-outside
# --- g SERIES: one value repeated across 3G and 1G, not resolved
5d10.6s.5g	3G	4	79783.96	
5d10.6s.5g	3G	5	79788	
5d10.6s.5g	1G	4	79784	degenerate
5d10.6s.6g	3G	5	81112	
5d10.6s.6g	3G	4	81125	
5d10.6s.6g	1G	4	81126.	degenerate
5d10.6s.7g	3G	4	81936.	degenerate
5d10.6s.7g	1G	4	81936.	degenerate
5d10.6s.8g	3G	4	82468.	degenerate
5d10.6s.8g	1G	4	82468.	degenerate
5d10.6s.9g	3G	4	82832.	degenerate
5d10.6s.9g	1G	4	82832.	degenerate
5d10.6s.10g	3G	4	83087.	degenerate
5d10.6s.10g	1G	4	83087.	degenerate
5d10.6s.11g	3G	4	83283.	degenerate
5d10.6s.11g	1G	4	83283.	degenerate
