# Sc I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Sc+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# ** FOUR LIMITS. This is the first multi-threshold table in the queue and
#    each series must be read against ITS OWN parent, not the lowest one: **
#      Sc II (3d.4s 3D<1>)   52922.0
#      Sc II (3d.4s 1D<2>)   55463.0
#      Sc II (3d2  3F<3>)    57805.6
#      Sc II (4s2  1S<0>)    64658.4
#
# THREE LONG SERIES, each on a DIFFERENT limit — the richest yield so far:
#      3d.4s.(1D).np   n =  9..38   -> 55463.0    2D* and 2P*
#      3d2.(3F).np     n =  9..15   -> 57805.6    2F*?  (all query-flagged)
#      4s2.nf          n =  4..23   -> 64658.4    2F*
#
# The low block below ~46000 is LS-assigned and transcribed. Above it the
# table degrades to empty configurations with "3/2 or 5/2" for J — those
# are refused by R 1576 and NOT written.
#
# config	term	J	level_cm1	limit_cm1
4s2.21f	2F*	5/2	64404.7	64658.4
4s2.22f	2F*	5/2	64426.6	64658.4
4s2.22f	2F*	7/2	64426.6	64658.4
4s2.23f	2F*	7/2	64445.6	64658.4
4s2.23f	2F*	5/2	64445.6	64658.4
# --- 3d.4s.(1D).np series, n = 9..38, against the 3d.4s 1D<2> limit 55463.0 ---
3d.4s.(1D).9p	2P*	3/2	53223.0	55463.0
3d.4s.(1D).10p	2P*	3/2	53784	55463.0
3d.4s.(1D).11p	2P*	3/2	54111.9	55463.0
3d.4s.(1D).12p	2P*	3/2	54366.6	55463.0
3d.4s.(1D).13p	2P*	3/2	54556.6	55463.0
3d.4s.(1D).14p	2P*	3/2	54712.1	55463.0
3d.4s.(1D).15p	2P*	3/2	54821.72	55463.0
3d.4s.(1D).16p	2P*	3/2	54908.4	55463.0
3d.4s.(1D).17p	2P*	3/2	54980.0	55463.0
3d.4s.(1D).18p	2P*	3/2	55038.3	55463.0
3d.4s.(1D).19p	2P*	3/2	55085.95	55463.0
3d.4s.(1D).20p	2P*	3/2	55126.64	55463.0
3d.4s.(1D).21p	2P*	3/2	55160.8	55463.0
3d.4s.(1D).22p	2P*	3/2	55190.20	55463.0
3d.4s.(1D).23p	2P*	3/2	55215.3	55463.0
3d.4s.(1D).24p	2P*	3/2	55237.4	55463.0
3d.4s.(1D).25p	2P*	3/2	55256.3	55463.0
3d.4s.(1D).26p	2P*	3/2	55273.2	55463.0
3d.4s.(1D).27p	2P*	3/2	55288.17	55463.0
3d.4s.(1D).28p	2P*	3/2	55301.2	55463.0
3d.4s.(1D).29p	2P*	3/2	55312.6	55463.0
3d.4s.(1D).30p	2P*	3/2	55323.3	55463.0
3d.4s.(1D).31p	2P*	3/2	55332.84	55463.0
3d.4s.(1D).32p	2P*	3/2	55341.41	55463.0
3d.4s.(1D).33p	2P*	3/2	55349.1	55463.0
3d.4s.(1D).34p	2P*	3/2	55356.7	55463.0
3d.4s.(1D).35p	2P*	3/2	55362.8	55463.0
3d.4s.(1D).36p	2P*	3/2	55368.99	55463.0
3d.4s.(1D).37p	2P*	3/2	55373.7	55463.0
3d.4s.(1D).38p	2P*	3/2	55378.2	55463.0
