filename	md5	size_bytes	status	target_path	source_shard	conversation	created_at	versions	note
04-two-discrepancies-resolved.md	b9c81784833dbaaaaa13d0b8f8c76e4e	3252	RECOVERED	recovered/04-two-discrepancies-resolved.md	2026-08/673194db-2dc6-4a59-973d-996aab0d5a1e.json	Seed law review	2026-08-28T20:32:14.855253Z	1	
05-voidfrac-instrument-located.md	66bf9c263620fd6825bbbe7328661a46	2340	RECOVERED	recovered/05-voidfrac-instrument-located.md	2026-08/673194db-2dc6-4a59-973d-996aab0d5a1e.json	Seed law review	2026-08-28T20:32:14.855253Z	1	
90-bad.md	92557c07ea165639dc47436805f5c071	210	RECOVERED	recovered/90-bad.md	2026-08/03852020-4499-4080-878d-a5f1fc1052b4.json	Register	2026-08-15T22:19:12.448243Z	1	
91-good.md	d66cb8d3038f83653ea006e4c3bf525b	192	RECOVERED	recovered/91-good.md	2026-08/03852020-4499-4080-878d-a5f1fc1052b4.json	Register	2026-08-15T22:19:12.448243Z	1	
A.py	944d668aa2cf723bb47f0bb6d8c7acec	2984	RECOVERED	recovered/A.py	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	2	
A.py	913ce6fce991168aaa81816b54b96710	2726	RECOVERED	recovered/A__913ce6fc.py	2026-07/35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb.json	indexing without prediction	2026-07-26T10:03:09.570943Z	2	
A2.py	cf09385adb70eec171612843a521129a	7374	RECOVERED	recovered/A2.py	2026-07/35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb.json	indexing without prediction	2026-07-26T10:03:09.570943Z	1	
A3.py	b8a586a79fdddacaf8107da9215faf17	6018	RECOVERED	recovered/A3.py	2026-07/35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb.json	indexing without prediction	2026-07-26T10:03:09.570943Z	1	
AA2.py	becda8922cab779d8e4413ef51f0c4b7	7593	RECOVERED	recovered/AA2.py	2026-07/35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb.json	indexing without prediction	2026-07-26T10:03:09.570943Z	1	
AA3.py	6379601b04c73f12766c6d02bcf85a8a	6704	RECOVERED	recovered/AA3.py	2026-07/35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb.json	indexing without prediction	2026-07-26T10:03:09.570943Z	1	
AC.py	e5110765337f441c2dfd6a0704dfc236	2960	RECOVERED	recovered/AC.py	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	1	
ADDENDUM-A1-SUPPLIED-QUOTE-S71.md	64c20a05708b86037db46fa6cdc586aa	2540	RECOVERED	recovered/ADDENDUM-A1-SUPPLIED-QUOTE-S71.md	2026-08/e7924d2b-3d7e-4b39-adf7-f72473113fde.json	LCP68	2026-08-21T02:21:18.311201Z	1	
ADDENDUM-P3-INTERSECTION.md	848fa6b1c87e84dfb3523fbebe550331	7017	RECOVERED-BY-WRITE	recovered/ADDENDUM-P3-INTERSECTION.md	2026-08/f5c8e4ad-f64c-43fd-af90-305c44411f86.json	LCP59	2026-08-20T17:20:49.970932Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
ADDENDUM-S103-ITEM2-91NODE.md	7a22dccdb42f2c548f936a10454d6dac	690	RECOVERED	recovered/ADDENDUM-S103-ITEM2-91NODE.md	2026-08/7315c483-0906-4057-84f8-94f11c5d8c22.json	LCP100	2026-08-23T17:02:10.408747Z	1	
AME2020-A9.tsv	1e1bc205b1849b26ca60b0375a51b38d	1041	RECOVERED	recovered/AME2020-A9.tsv	2026-08/4945af0e-6ff8-45ee-a138-940c87ad90a4.json	The Method 1.7	2026-08-10T22:12:01.144361Z	1	
AMEND-A1-LEDGER.md	a194fe576e15f3ad00c5b5490f3fb4ad	1774	RECOVERED	recovered/AMEND-A1-LEDGER.md	2026-08/f6c82a04-35c5-401b-a480-91de409a462c.json	LCP70	2026-08-21T03:21:32.296578Z	1	
AMEND-BRIDGE-74.md	683350db1f32e04765c97ec5f3967349	2582	RECOVERED	recovered/AMEND-BRIDGE-74.md	2026-08/6f7613cd-fc49-4bf0-9130-f0af8ffe631c.json	LCP71	2026-08-21T04:26:58.740623Z	1	
AMENDMENT-F75.1.md	6a671a3833487c6316eb2c61dd50be94	1977	RECOVERED	recovered/AMENDMENT-F75.1.md	2026-08/234c0aab-d8c4-424c-bc57-0094e152ea74.json	LCP72	2026-08-21T05:22:29.429587Z	1	
AMENDMENT-F75.2.md	91a638944de3b70cc81d00a0f7e6eefa	2091	RECOVERED	recovered/AMENDMENT-F75.2.md	2026-08/234c0aab-d8c4-424c-bc57-0094e152ea74.json	LCP72	2026-08-21T05:22:29.429587Z	1	
AMENDMENT-F76.1.md	4d6e98c8c4e975bb84e2894eccbb482d	3223	RECOVERED	recovered/AMENDMENT-F76.1.md	2026-08/cfdc9eb0-8e59-42d3-96fe-5fb14ffd47b5.json	LCP73	2026-08-21T06:07:22.619220Z	1	
AMENDMENT-PD-0-PRIME.md	a72ecd0cd25c78df41df61fdce6a1603	2641	RECOVERED-BY-WRITE	recovered/AMENDMENT-PD-0-PRIME.md	2026-08/695640d3-a7f1-436e-b3a4-b3197cd4f476.json	LCP63	2026-08-20T22:35:41.852393Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
AMENDMENT-STALE-LINES-S70.md	2f9371d587671ef0c1f1e50c2f7c0e4c	5586	RECOVERED-BY-WRITE	recovered/AMENDMENT-STALE-LINES-S70.md	2026-08/b50ea4f0-84df-4c28-bb38-1fb7a02bf1f0.json	LCP67	2026-08-21T01:28:20.642036Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
ANSWER-TO-METHOD-1_6-CHAT32.md	9645a5bae38f81010a2b17a382f23b77	12159	RECOVERED-BY-WRITE	recovered/ANSWER-TO-METHOD-1_6-CHAT32.md	2026-08/fe1e261f-7ec8-4169-bf2c-ea0e843bd02b.json	I'll	2026-08-26T21:18:24.578352Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
APPEND-1701-1727.md	e7a001e5b556e904bf05ff2504a212b8	29969	RECOVERED-BY-WRITE	recovered/APPEND-1701-1727.md	2026-08/03852020-4499-4080-878d-a5f1fc1052b4.json	Register	2026-08-15T22:19:12.448243Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
ARXIV-SUBMISSION-PACKAGE.md	62c6765cff532775d923806b05f7d690	3524	RECOVERED-BY-WRITE	recovered/ARXIV-SUBMISSION-PACKAGE.md	2026-08/6d05ce28-ae11-4652-8190-fbb82b2bb598.json	LCP101	2026-08-23T17:56:22.401182Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
ASSEMBLY-REVISION-S64.md	96b81d5556ad8533d2cf164b7381aa38	5383	RECOVERED-BY-WRITE	recovered/ASSEMBLY-REVISION-S64.md	2026-08/d71b556a-8d16-478f-b6c4-d34e7bd80d35.json	LCP61	2026-08-20T19:44:54.588867Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
ASSEMBLY-RUNG-0.md	690fbbc54f169e5cecf8a2a00ea56187	22322	RECOVERED	recovered/ASSEMBLY-RUNG-0.md	2026-08/91ee2d32-d0a4-4c70-b4e8-8bd038562ebb.json	LCP60	2026-08-20T18:07:54.255865Z	1	
ASSESS-S101-RESIDUE-UNIFICATION.md	d9c786ed8cd69c8ff48c5efb386b0dea	3563	RECOVERED	recovered/ASSESS-S101-RESIDUE-UNIFICATION.md	2026-08/9be7a2d2-0682-45e1-a3d1-7c2330883d43.json	LCP98	2026-08-23T15:46:39.695357Z	1	
ATTRIBUTION-LEDGER-LOWDIN.md	7e88cf30e0cc3bab69a82b1e7a6ef843	5634	RECOVERED	recovered/ATTRIBUTION-LEDGER-LOWDIN.md	2026-08/be1d4a5f-a873-4c8a-9ecc-679b2e070be8.json	LCP50	2026-08-19T23:15:48.399915Z	1	
ATTRIBUTION-NOTE-SESSION-24.md	97c2d18b3f316e45f3c3e75730467ea0	2209	RECOVERED-BY-WRITE	recovered/ATTRIBUTION-NOTE-SESSION-24.md	2026-08/308108da-a2c9-4222-afa8-a8f52b8b13a0.json	LCP22	2026-08-17T02:17:58.804684Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
ATTRIBUTION-TABLE-SESSION-6.md	48a37e04e6d859db2b7684021d16edd9	5354	RECOVERED-BY-WRITE	recovered/ATTRIBUTION-TABLE-SESSION-6.md	2026-08/3421502c-445a-4a4b-98f3-33fb524954de.json	LCP4	2026-08-16T05:16:46.622266Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
AUDIT-GROUND-OCC-S74.md	6d35f77537209f29d9c89e099a0d3ecc	1950	RECOVERED	recovered/AUDIT-GROUND-OCC-S74.md	2026-08/6f7613cd-fc49-4bf0-9130-f0af8ffe631c.json	LCP71	2026-08-21T04:26:58.740623Z	1	
AcI.tsv	e25ddb6f3ea8216ef9c5af7cb840da34	2127	RECOVERED	recovered/AcI.tsv	2026-08/4945af0e-6ff8-45ee-a138-940c87ad90a4.json	The Method 1.7	2026-08-10T22:12:01.144361Z	1	
AlI.tsv	f6fb235dc13727c5b4c0179f49a7dc07	6171	RECOVERED	recovered/AlI.tsv	2026-08/866fbabe-2c17-4e5f-921b-5c7bda675554.json	The Method 1.7.1	2026-08-14T20:27:20.422936Z	2	
AlI.tsv	00c639ccd399f99a0a054edcec9dfa90	5530	RECOVERED	recovered/AlI__00c639cc.tsv	2026-08/4945af0e-6ff8-45ee-a138-940c87ad90a4.json	The Method 1.7	2026-08-10T22:12:01.144361Z	2	
AlIII.tsv	fea567839379ae3767ccc0395f538efb	802	RECOVERED	recovered/AlIII.tsv	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	1	
AlIV.tsv	51780b724a5888381d2589f29abbf3cd	482	RECOVERED	recovered/AlIV.tsv	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	1	
ArI.tsv	3dc04c4cfe8f2b105467de9ac72eef04	1203	RECOVERED	recovered/ArI.tsv	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	1	
ArII.tsv	bb72dc715c9ffc2722267cc6f1f35adb	961	RECOVERED	recovered/ArII.tsv	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	1	
ArII_asd.tsv	764cc665b4c50ef9480c89c12c77c7ec	6018	RECOVERED	recovered/ArII_asd.tsv	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	1	
ArII_highl.tsv	a13ea5aa0850b19f16faa757f7ad21c2	984	RECOVERED	recovered/ArII_highl.tsv	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	2	
ArII_highl.tsv	addcc87fa8906d40a41a72800f15b412	1716	RECOVERED	recovered/ArII_highl__addcc87f.tsv	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	2	
AsII.tsv	5533a96217061dfbb3997632da4ad01a	6763	RECOVERED	recovered/AsII.tsv	2026-08/866fbabe-2c17-4e5f-921b-5c7bda675554.json	The Method 1.7.1	2026-08-14T20:27:20.422936Z	2	
AsII.tsv	dc8db406ba17de837e7f19b77667f030	2417	RECOVERED	recovered/AsII__dc8db406.tsv	2026-08/4945af0e-6ff8-45ee-a138-940c87ad90a4.json	The Method 1.7	2026-08-10T22:12:01.144361Z	2	
AsIII.tsv	1bd83df59ce7ff47a9fd0d1c63d71fac	946	RECOVERED	recovered/AsIII.tsv	2026-08/866fbabe-2c17-4e5f-921b-5c7bda675554.json	The Method 1.7.1	2026-08-14T20:27:20.422936Z	2	
AsIII.tsv	67754019c5670225a84af111fcaff089	1863	RECOVERED	recovered/AsIII__67754019.tsv	2026-08/4945af0e-6ff8-45ee-a138-940c87ad90a4.json	The Method 1.7	2026-08-10T22:12:01.144361Z	2	
AsIV.tsv	b688846ba46191a2222f79a3d4bb5027	1258	RECOVERED	recovered/AsIV.tsv	2026-08/866fbabe-2c17-4e5f-921b-5c7bda675554.json	The Method 1.7.1	2026-08-14T20:27:20.422936Z	2	
AsIV.tsv	b24ff30611bc8ad8cdf5c8d8cdeaedf8	2128	RECOVERED	recovered/AsIV__b24ff306.tsv	2026-08/4945af0e-6ff8-45ee-a138-940c87ad90a4.json	The Method 1.7	2026-08-10T22:12:01.144361Z	2	
Attribution_Ledger_Three_Body.md	89ce1836a91a3c6459f081e0b847ba71	4795	RECOVERED-BY-WRITE	recovered/Attribution_Ledger_Three_Body.md	2026-08/b778e075-7807-4392-8a24-2dfc864468bc.json	Project scope review	2026-08-23T21:15:00.709524Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
Audit_Three_Body_All_Mass_Cases.md	9d4a0707f7b8c229c31e9f730707e061	4928	RECOVERED-BY-WRITE	recovered/Audit_Three_Body_All_Mass_Cases.md	2026-08/b778e075-7807-4392-8a24-2dfc864468bc.json	Project scope review	2026-08-23T21:15:00.709524Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
B.b64	b1414f9bfe694aca0653b398b6b94c78	3160	RECOVERED	recovered/B.b64	2026-08/19f0d9d5-fc9b-49ba-ae18-4d247ca50c83.json	Rebuild 11	2026-08-24T18:23:54.440794Z	1	
B10-PARTIAL-CERTIFICATE.md	f6ce74c923b2b301a4bccc2f86d2e7bd	4963	RECOVERED	recovered/B10-PARTIAL-CERTIFICATE.md	2026-08/2f6e0568-b5bc-4709-8eca-7c64aeea87bb.json	62	2026-08-29T16:33:46.205793Z	1	
B2.py	31a2a1beb9b83e8d9fdede68dc49538f	5994	RECOVERED	recovered/B2.py	2026-07/35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb.json	indexing without prediction	2026-07-26T10:03:09.570943Z	1	
B3.py	f089e5a201d7ec550511a64b6538e689	6773	RECOVERED	recovered/B3.py	2026-07/35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb.json	indexing without prediction	2026-07-26T10:03:09.570943Z	1	
B7-CHANGE-CERTIFICATE.md	e5607f0738241fd44f444e1e59a122b8	4323	RECOVERED	recovered/B7-CHANGE-CERTIFICATE.md	2026-08/2f6e0568-b5bc-4709-8eca-7c64aeea87bb.json	62	2026-08-29T16:33:46.205793Z	1	
B8-BINDING-CERTIFICATE.md	21c9d329165d1a349a56f715c9881581	4270	RECOVERED	recovered/B8-BINDING-CERTIFICATE.md	2026-08/2f6e0568-b5bc-4709-8eca-7c64aeea87bb.json	62	2026-08-29T16:33:46.205793Z	1	
B9-CERTIFICATE.md	e3dd3b30f49a8fb2bdaff474fffb6831	4458	RECOVERED	recovered/B9-CERTIFICATE.md	2026-08/2f6e0568-b5bc-4709-8eca-7c64aeea87bb.json	62	2026-08-29T16:33:46.205793Z	1	
BI.tsv	fd4530d2cf70f950cd4fbb4be81fc460	4433	RECOVERED	recovered/BI.tsv	2026-08/866fbabe-2c17-4e5f-921b-5c7bda675554.json	The Method 1.7.1	2026-08-14T20:27:20.422936Z	2	
BI.tsv	68028aaf12c4a8a1b3f1f19a3525c981	4552	RECOVERED	recovered/BI__68028aaf.tsv	2026-08/4945af0e-6ff8-45ee-a138-940c87ad90a4.json	The Method 1.7	2026-08-10T22:12:01.144361Z	2	
BII.tsv	66c0f0e1d4177219c5c00af70d45e993	881	RECOVERED	recovered/BII.tsv	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	1	
BIII.tsv	d9b2332cff01004b3ea30015b0ce7906	1049	RECOVERED	recovered/BIII.tsv	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	1	
BIV.tsv	4e0c3b7147c0a96b007e9ecae56e9c40	1867	RECOVERED	recovered/BIV.tsv	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json	The Method 1.6	2026-08-03T17:48:18.882467Z	1	
BOARD-3-PROPOSED.md	2c07e433ee222c432536b9f051d0648e	9194	RECOVERED-BY-WRITE	recovered/BOARD-3-PROPOSED.md	2026-08/37b0d407-7e3b-4b21-aded-138263767df4.json	the Board	2026-08-15T19:32:55.559341Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
BOARD-REEVALUATED.md	a0f5bc138c2ca0583a845efade163e7a	2593	RECOVERED	recovered/BOARD-REEVALUATED.md	2026-08/6b271e4f-7e72-4702-b817-f83fbc3df24b.json	The Method 1.7.5	2026-08-15T17:51:29.513451Z	2	
BOARD-REEVALUATED.md	7db49bb5f9ea70a1f0bbf7783d16335f	2550	RECOVERED	recovered/BOARD-REEVALUATED__7db49bb5.md	2026-08/6b271e4f-7e72-4702-b817-f83fbc3df24b.json	The Method 1.7.5	2026-08-15T17:51:29.513451Z	2	
BOARD.md	650849f825ce41982231e1842513fdca	1947	RECOVERED	recovered/BOARD.md	2026-08/ae16289d-3b20-4460-9488-fbe9b8c2f803.json	The Method 1.7.6	2026-08-15T18:53:01.694011Z	1	
BODY2-CHAPTER-35-THE-LOWDIN-SOLUTION.md	9b249750663491648b9fe425c44e8842	10195	RECOVERED-BY-WRITE	recovered/BODY2-CHAPTER-35-THE-LOWDIN-SOLUTION.md	2026-08/6d05ce28-ae11-4652-8190-fbb82b2bb598.json	LCP101	2026-08-23T17:56:22.401182Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
BODY3-INDEX-OF-INDICES-ADDITIONS.md	f81e0da0a6e5e19a40e1dc9d0cc628f8	3597	RECOVERED-BY-WRITE	recovered/BODY3-INDEX-OF-INDICES-ADDITIONS.md	2026-08/6d05ce28-ae11-4652-8190-fbb82b2bb598.json	LCP101	2026-08-23T17:56:22.401182Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
BODY3-MATHEMATICAL-COMPENDIUM-ADDITIONS.md	2a7d60daab3454a2193056f83e519953	5103	RECOVERED-BY-WRITE	recovered/BODY3-MATHEMATICAL-COMPENDIUM-ADDITIONS.md	2026-08/6d05ce28-ae11-4652-8190-fbb82b2bb598.json	LCP101	2026-08-23T17:56:22.401182Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
BODY3-PHYSICS-COMPENDIUM-ADDITIONS.md	9cb8ece873330aba7dcdec07c63367cc	5450	RECOVERED-BY-WRITE	recovered/BODY3-PHYSICS-COMPENDIUM-ADDITIONS.md	2026-08/6d05ce28-ae11-4652-8190-fbb82b2bb598.json	LCP101	2026-08-23T17:56:22.401182Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
BODY3-REGISTER-ADDITIONS-1701.md	8ee1906dd58506de03dc4eaa590d557e	9275	RECOVERED-BY-WRITE	recovered/BODY3-REGISTER-ADDITIONS-1701.md	2026-08/6d05ce28-ae11-4652-8190-fbb82b2bb598.json	LCP101	2026-08-23T17:56:22.401182Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
BODY3-SPECTRA-COMPENDIUM-ADDITIONS.md	a90f1a4cec5b0f0ad1f4c67cb64c357f	3070	RECOVERED-BY-WRITE	recovered/BODY3-SPECTRA-COMPENDIUM-ADDITIONS.md	2026-08/6d05ce28-ae11-4652-8190-fbb82b2bb598.json	LCP101	2026-08-23T17:56:22.401182Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
BRIDGE-1_7_2-to-next.md	59c3f4cffb957fdf13271d1326dd0ccc	5465	RECOVERED	recovered/BRIDGE-1_7_2-to-next.md	2026-08/d285afd1-4539-48fd-baaf-ffae8986f3cf.json	The Method 1.7.2	2026-08-15T14:45:00.749771Z	1	
BRIDGE-1_8_2-to-next.md	5d67f7e0ab9312f8c4af23b6e4f25b07	5175	RECOVERED	recovered/BRIDGE-1_8_2-to-next.md	2026-08/6b271e4f-7e72-4702-b817-f83fbc3df24b.json	The Method 1.7.5	2026-08-15T17:51:29.513451Z	1	
BRIDGE-1_8_3-to-next.md	4c97283fabfd88615f10d220fc7a3bd3	3112	RECOVERED	recovered/BRIDGE-1_8_3-to-next.md	2026-08/ae16289d-3b20-4460-9488-fbe9b8c2f803.json	The Method 1.7.6	2026-08-15T18:53:01.694011Z	1	
BRIDGE-BOARD-1-to-next.md	849453213693574d1dafc1116eb59751	7286	RECOVERED-BY-WRITE	recovered/BRIDGE-BOARD-1-to-next.md	2026-08/37b0d407-7e3b-4b21-aded-138263767df4.json	the Board	2026-08-15T19:32:55.559341Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
BRIDGE-LOWDIN-SESSION-10.md	17d664cf94fc093eb2000a6baede7080	4969	RECOVERED-BY-WRITE	recovered/BRIDGE-LOWDIN-SESSION-10.md	2026-08/db16855e-e0f3-42c5-b166-0a212beffb81.json	LCP8	2026-08-16T15:53:24.952461Z	1	written by a tool call in the export; named by no bundle in filename shape, so never in recover.py's wanted-set. Body held under no md5 in the repository at the time of extraction.
BRIDGE-LOWDIN-SESSION-11.md	6fd6222c340fb8a0849f08951029a3e4	3537	RECOVERED	recovered/BRIDGE-LOWDIN-SESSION-11.md	2026-08/e87d743c-23e8-4303-b3d2-11aa219a9d83.json	LCP9	2026-08-16T18:03:55.154374Z	1	
BRIDGE-LOWDIN-SESSION-12.md	6bd891854789944a49fb21b0b77e196d	3033	RECOVERED	recovered/BRIDGE-LOWDIN-SESSION-12.md	2026-08/0e99b849-009e-409c-aea6-1421aa3890c1.json	LCP10	2026-08-16T18:17:35.424189Z	1	
BRIDGE-LOWDIN-SESSION-13.md	5b1a18247be35466db1d439384dea2ba	3532	RECOVERED	recovered/BRIDGE-LOWDIN-SESSION-13.md	2026-08/7e46f948-807f-42ba-b21e-f05445a7ce9d.json	LCP11	2026-08-16T18:40:19.531025Z	1	
BRIDGE-LOWDIN-SESSION-14.md	f965e779d7f3ecc368b54ea49084026d	2161	RECOVERED	recovered/BRIDGE-LOWDIN-SESSION-14.md	2026-08/bc3c9bf9-dfbf-4856-8851-d27206c212b5.json	LCP12	2026-08-16T19:02:19.283719Z	1	
BRIDGE-LOWDIN-SESSION-15.md	c0a361823da4dd571b019e1c7b125d22	2134	RECOVERED	recovered/BRIDGE-LOWDIN-SESSION-15.md	2026-08/bed4e957-9ec8-4f42-9a45-cb00f7486873.json	LCP13	2026-08-16T19:19:38.077338Z	1	
BRIDGE-LOWDIN-SESSION-16.md	c7d9b450ac4fe9cec08ed153e84d2e24	2137	RECOVERED	recovered/BRIDGE-LOWDIN-SESSION-16.md	2026-08/09f624a4-d43c-44f8-9eac-29e8288038e8.json	LCP14	2026-08-16T19:27:25.985676Z	1	
BRIDGE-LOWDIN-SESSION-17.md	1908f50455dd3b24ffbfbfd5b0414bc6	4651	RECOVERED	recovered/BRIDGE-LOWDIN-SESSION-17.md	2026-08/bfabd67e-32d5-4401-bf96-4f7933c681a2.json	LCP15	2026-08-16T20:03:05.587586Z	1	
BRIDGE-LOWDIN-SESSION-18.md	d53626c67486b185333833a069314d0e	4604	RECOVERED	recovered/BRIDGE-LOWDIN-SESSION-18.md	2026-08/d7e123c4-b9b8-4e22-a403-1f07cf213ec4.json	LCP16	2026-08-16T20:48:04.704681Z	1	
