# Phonon symmetry content of 12 crystals at their high-symmetry k-points.
# COMPUTED.  No published decomposition is read; section 3 of the write-up
# compares against them.
crystal	sg	atoms	k	k_frac	pk_order	N	ghat_order	modes	decomposition
graphite 2H	194	4	H	1/3,1/3,1/2	12	6	72	12	3x(dim 2) + 2x(dim 2) + 1x(dim 2)
MoS2 2H	194	6	Gamma	0,0,0	24	1	24	18	1x(dim 1) + 2x(dim 1) + 2x(dim 1) + 1x(dim 1) + 1x(dim 2) + 2x(dim 2) + 2x(dim 2) + 1x(dim 2)
MoS2 2H	194	6	A	0,0,1/2	24	2	48	18	3x(dim 2) + 3x(dim 4)
MoS2 2H	194	6	M	1/2,0,0	8	2	16	18	3x(dim 1) + 2x(dim 1) + 3x(dim 1) + 1x(dim 1) + 1x(dim 1) + 3x(dim 1) + 2x(dim 1) + 3x(dim 1)
MoS2 2H	194	6	K	1/3,1/3,0	12	3	36	18	2x(dim 1) + 2x(dim 1) + 1x(dim 1) + 1x(dim 1) + 3x(dim 2) + 3x(dim 2)
ZnO wurtzite	186	4	Gamma	0,0,0	12	1	12	12	2x(dim 1) + 2x(dim 1) + 2x(dim 2) + 2x(dim 2)
ZnO wurtzite	186	4	A	0,0,1/2	12	2	24	12	2x(dim 1, W=0) + 2x(dim 1, W=0) + 2x(dim 2, W=0) + 2x(dim 2, W=0)
ZnO wurtzite	186	4	M	1/2,0,0	4	2	8	12	2x(dim 1) + 4x(dim 1) + 2x(dim 1) + 4x(dim 1)
ZnO wurtzite	186	4	K	1/3,1/3,0	6	3	18	12	2x(dim 1) + 2x(dim 1) + 4x(dim 2)
ZnO wurtzite	186	4	H	1/3,1/3,1/2	6	6	36	12	2x(dim 1, W=0) + 2x(dim 1, W=0) + 4x(dim 2)
rutile TiO2	136	6	Gamma	0,0,0	16	1	16	18	2x(dim 1) + 2x(dim 1) + 1x(dim 1) + 1x(dim 1) + 1x(dim 1) + 1x(dim 1) + 4x(dim 2) + 1x(dim 2)
rutile TiO2	136	6	Z	0,0,1/2	16	2	32	18	2x(dim 2) + 3x(dim 2) + 1x(dim 2) + 3x(dim 2)
rutile TiO2	136	6	M	1/2,1/2,0	16	2	32	18	2x(dim 1, W=0) + 2x(dim 1, W=0) + 1x(dim 1, W=0) + 1x(dim 1, W=0) + 1x(dim 1, W=0) + 1x(dim 1, W=0) + 4x(dim 2) + 1x(dim 2)
rutile TiO2	136	6	A	1/2,1/2,1/2	16	2	32	18	2x(dim 2) + 3x(dim 2) + 1x(dim 2) + 3x(dim 2)
rutile TiO2	136	6	X	1/2,0,0	8	2	16	18	3x(dim 2) + 6x(dim 2)
rutile TiO2	136	6	R	1/2,0,1/2	8	2	16	18	6x(dim 2) + 3x(dim 2)
alpha-quartz	152	9	Gamma	0,0,0	6	1	6	27	5x(dim 1) + 4x(dim 1) + 9x(dim 2)
alpha-quartz	152	9	A	0,0,1/2	6	2	12	27	5x(dim 1) + 4x(dim 1) + 9x(dim 2)
alpha-quartz	152	9	M	1/2,0,0	2	2	4	27	14x(dim 1) + 13x(dim 1)
alpha-quartz	152	9	K	1/3,1/3,0	6	3	18	27	4x(dim 1) + 5x(dim 1) + 9x(dim 2)
alpha-quartz	152	9	H	1/3,1/3,1/2	6	6	36	27	4x(dim 1) + 5x(dim 1) + 9x(dim 2)
