artefact	family	status	held_as
CENSUS-CLOSURES-ch12o.tsv	data	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
CENSUS-CLOSURES-ch12p.tsv	data	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
CENSUS-CLOSURES-ch12q.tsv	data	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
CENSUS-CLOSURES-ch12r.tsv	data	IN-CHAT	2026-08/a27c6e46-cadb-4d50-8d19-041611e52393.json
CENSUS-CLOSURES-ch12s.tsv	data	IN-CHAT	2026-08/a27c6e46-cadb-4d50-8d19-041611e52393.json
CENSUS-CLOSURES-ch12t.tsv	data	IN-CHAT	2026-08/a27c6e46-cadb-4d50-8d19-041611e52393.json
CENSUS-CLOSURES-ch12u.tsv	data	IN-CHAT	2026-08/a27c6e46-cadb-4d50-8d19-041611e52393.json
CENSUS-CLOSURES-ch12v.tsv	data	IN-CHAT	2026-08/a27c6e46-cadb-4d50-8d19-041611e52393.json
CENSUS-CLOSURES-ch12w.tsv	data	IN-CHAT	2026-08/a27c6e46-cadb-4d50-8d19-041611e52393.json
CENSUS-CLOSURES-ch12x.tsv	data	IN-CHAT	2026-08/a27c6e46-cadb-4d50-8d19-041611e52393.json
CENSUS-CLOSURES-ch12y.tsv	data	IN-CHAT	2026-08/a27c6e46-cadb-4d50-8d19-041611e52393.json
CENSUS-CLOSURES-ch12z.tsv	data	IN-CHAT	2026-08/b3c4f5c3-3aad-464b-9da1-cc15c4850645.json
CENSUS-CLOSURES-ch13a.tsv	data	IN-CHAT	2026-08/b3c4f5c3-3aad-464b-9da1-cc15c4850645.json
CENSUS-CLOSURES-ch13b.tsv	data	IN-CHAT	2026-08/b3c4f5c3-3aad-464b-9da1-cc15c4850645.json
CENSUS-CLOSURES-ch13c.tsv	data	IN-CHAT	2026-08/c3cdb6ed-a163-45ca-b7a4-a00b771b7b44.json
CENSUS-CLOSURES-ch13d.tsv	data	IN-CHAT	2026-08/c3cdb6ed-a163-45ca-b7a4-a00b771b7b44.json
CENSUS-CLOSURES-ch13e.tsv	data	IN-CHAT	2026-08/a9c8af26-522f-4685-a146-6a2d82d6e4cb.json
CENSUS-CLOSURES-ch13f.tsv	data	IN-CHAT	2026-08/a9c8af26-522f-4685-a146-6a2d82d6e4cb.json
CENSUS-CLOSURES-ch13g.tsv	data	IN-CHAT	2026-08/a9c8af26-522f-4685-a146-6a2d82d6e4cb.json
CENSUS-CLOSURES-ch13h.tsv	data	IN-CHAT	2026-08/8eea2e7b-041a-4b21-83cb-d68a798e80f7.json
CENSUS-CLOSURES-ch13i.tsv	data	IN-CHAT	2026-08/8eea2e7b-041a-4b21-83cb-d68a798e80f7.json
CENSUS-CLOSURES-ch13j.tsv	data	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
CENSUS-CLOSURES-ch13l.tsv	data	IN-CHAT	2026-08/37aaed26-2634-4eba-8490-9cac72ddc78a.json
CENSUS-CLOSURES-ch13n.tsv	data	IN-CHAT	2026-08/8921b090-d9d2-409d-89d6-79059864f2a1.json
CENSUS-CLOSURES-ch13p.tsv	data	IN-CHAT	2026-08/8921b090-d9d2-409d-89d6-79059864f2a1.json
CENSUS-CLOSURES-ch13r.tsv	data	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
CENSUS-CLOSURES-ch13t.tsv	data	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
CENSUS-CLOSURES-ch13v.tsv	data	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
CENSUS-CLOSURES-ch13x.tsv	data	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
CENSUS-CLOSURES-ch13z.tsv	data	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
CENSUS-CLOSURES-ch14b.tsv	data	IN-CHAT	2026-08/146fd7b1-4171-42ff-a76c-b9536152405d.json
CENSUS-CLOSURES-ch14d.tsv	data	IN-CHAT	2026-08/4f816e48-7326-499c-9244-1bf8f2aa22a0.json
CENSUS-CLOSURES-ch14f.tsv	data	IN-CHAT	2026-08/2642ac6b-c6ca-4414-bb52-81347610b659.json
CENSUS-CLOSURES-ch14h.tsv	data	IN-CHAT	2026-08/4f816e48-7326-499c-9244-1bf8f2aa22a0.json
CENSUS-CLOSURES-ch14j.tsv	data	IN-CHAT	2026-08/8e854e1e-3792-46a2-9163-1ea1661d4ffe.json
CENSUS-CLOSURES-ch14l.tsv	data	IN-CHAT	2026-08/8e854e1e-3792-46a2-9163-1ea1661d4ffe.json
CENSUS-CLOSURES-ch14n.tsv	data	IN-CHAT	2026-08/2642ac6b-c6ca-4414-bb52-81347610b659.json
CENSUS-CLOSURES-ch14p.tsv	data	IN-CHAT	2026-08/2642ac6b-c6ca-4414-bb52-81347610b659.json
CENSUS-CLOSURES-ch14r.tsv	data	IN-CHAT	2026-08/2642ac6b-c6ca-4414-bb52-81347610b659.json
CENSUS-CLOSURES-ch14t.tsv	data	IN-CHAT	2026-08/9c9a7394-cf0f-4bd4-b663-c4c2e4c15f95.json
CENSUS-CLOSURES-ch14v.tsv	data	IN-CHAT	2026-08/9c9a7394-cf0f-4bd4-b663-c4c2e4c15f95.json
CENSUS-CLOSURES-ch14x.tsv	data	IN-CHAT	2026-08/9c9a7394-cf0f-4bd4-b663-c4c2e4c15f95.json
CENSUS-CLOSURES-ch14z.tsv	data	IN-CHAT	2026-08/22f6f4ec-c68d-4f24-b253-7e50b899118d.json
CENSUS-CLOSURES-ch15b.tsv	data	IN-CHAT	2026-08/22f6f4ec-c68d-4f24-b253-7e50b899118d.json
CENSUS-CLOSURES-ch15d.tsv	data	IN-CHAT	2026-08/aae9604f-db73-4f73-955d-31a5bd961d7d.json
CENSUS-CLOSURES-ch15f.tsv	data	IN-CHAT	2026-08/b7f6af31-e1d4-4dee-a7ff-df24102b0fb6.json
CENSUS-CLOSURES-ch15g.tsv	data	IN-CHAT	2026-08/0d01b07f-63f3-49a7-9bc7-d310656689ee.json
CENSUS-CLOSURES-ch15h.tsv	data	IN-CHAT	2026-08/0d01b07f-63f3-49a7-9bc7-d310656689ee.json
CENSUS-CLOSURES-ch15i.tsv	data	IN-CHAT	2026-08/f8bb452d-da8f-45aa-a061-60e9a53498a5.json
CENSUS-CLOSURES-ch15j.tsv	data	IN-CHAT	2026-09/249f66b1-7661-4dd9-b807-965cfba3fbc6.json
CENSUS-CLOSURES-ch15k.tsv	data	IN-CHAT	2026-09/5abbd543-33fe-4e92-9fd1-42de6bca9f45.json
CENSUS-CLOSURES-ch15l.tsv	data	IN-CHAT	2026-09/15546118-a6b0-4290-a583-08bca893bdfe.json
CENSUS-CLOSURES-ch15m.tsv	data	IN-CHAT	2026-09/15546118-a6b0-4290-a583-08bca893bdfe.json
CENSUS-CLOSURES-ch15n.tsv	data	IN-CHAT	2026-09/82d760b2-28c2-4ed2-90b3-0b234e23ace6.json
CENSUS-CLOSURES-ch15o.tsv	data	IN-CHAT	2026-09/7a495fd1-93f1-4bfe-acdf-f0a8c13ebb46.json
CENSUS-CLOSURES-ch16b.tsv	data	HELD	
CENSUS-CLOSURES-ch16d.tsv	data	HELD	
CENSUS-CLOSURES-ch16g.tsv	data	HELD	
CENSUS-CLOSURES-ch16j.tsv	data	HELD	
CENSUS-CLOSURES-ch16m.tsv	data	HELD	
CENSUS-CLOSURES-ch16o.tsv	data	HELD	
CENSUS-CLOSURES-ch16q.tsv	data	HELD	
CENSUS-CLOSURES-ch16r.tsv	data	HELD	
CENSUS-CLOSURES-ch16t.tsv	data	HELD	
CENSUS-CLOSURES-ch16v.tsv	data	HELD	
CENSUS-CLOSURES-ch16x.tsv	data	HELD	
CENSUS-CLOSURES-ch16z.tsv	data	HELD	
CENSUS-CLOSURES-ch17a.tsv	data	HELD	
CENSUS-CLOSURES-ch17c.tsv	data	HELD	
CENSUS-CLOSURES-ch17e.tsv	data	HELD	
CENSUS-CLOSURES-ch18a.tsv	data	HELD	
CENSUS-CLOSURES-ch19a.tsv	data	HELD	
CENSUS-CLOSURES-ch20a.tsv	data	HELD	
CENSUS-CLOSURES-ch21a.tsv	data	HELD	
CENSUS-CLOSURES-ch22a.tsv	data	HELD	
CENSUS-CLOSURES-ch23a.tsv	data	HELD	
CENSUS-CLOSURES-ch24a.tsv	data	HELD	
CENSUS-CLOSURES-ch25a.tsv	data	HELD	
CENSUS-CLOSURES-ch26a.tsv	data	HELD	
CENSUS-CLOSURES-ch27a.tsv	data	HELD	
CENSUS-CLOSURES-ch28.tsv	data	HELD	
CENSUS-CLOSURES-ch3.tsv	data	HELD	
CENSUS-CLOSURES-ch34re.tsv	data	HELD	
CENSUS-CLOSURES-ch4.tsv	data	HELD	
CENSUS-CLOSURES-ch5.tsv	data	HELD	
CENSUS-CLOSURES-ch6.tsv	data	HELD	
CENSUS-CLOSURES-ch7.tsv	data	HELD	
CENSUS-CLOSURES-ch8.tsv	data	HELD	
CENSUS-CLOSURES-ch9.tsv	data	HELD	
CENSUS-CLOSURES-chNN.tsv	data	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
CENSUS-CLOSURES-scf.tsv	data	HELD	
CENSUS-CLOSURES-warn.tsv	data	HELD	
CENSUS-CLOSURES.tsv	data	HELD	
CHANNELS-NEW.tsv	data	HELD	
CHAPTER-LOWDIN.md	other	HELD	
CHAPTER-THREEBODY.md	other	HELD	
CI_full.tsv	data	HELD	
CLAUDE.md	other	HELD	
CODE-LOWDIN-2_13.txt	other	HELD	
COMPENDIUM-TAIL.md	other	HELD	
COMPENDIUM.md	other	IN-CHAT-BODY	2026-08/2f6e0568-b5bc-4709-8eca-7c64aeea87bb.json
COORDINATES-2.13.csv	data	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
COORDINATES-2_13.csv	data	HELD	
COORDINATES-jK.tsv	data	HELD	
COORDINATES.tsv	data	HELD	
CaII_full.tsv	data	HELD	
CaI_full.tsv	data	HELD	
CdII_full.tsv	data	HELD	
Chapter_36_Three_Bodies_RENUMBERED.md	other	IN-CHAT	2026-08/04a06ea9-2cb4-4cb1-a309-78d91951af60.json
Compendium-2.md	other	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
Compendium_Additions_Three_Body_RENUMBERED.md	other	IN-CHAT	2026-08/04a06ea9-2cb4-4cb1-a309-78d91951af60.json
D-E-FINDINGS-RAW.txt	other	HELD	
D59_DRAFT.md	other	HELD	
DEF-107.md	DEF	IN-CHAT	2026-08/0d01b07f-63f3-49a7-9bc7-d310656689ee.json
DEF-115.md	DEF	IN-CHAT	2026-09/7a495fd1-93f1-4bfe-acdf-f0a8c13ebb46.json
DEF-125.md	DEF	IN-CHAT	2026-09/4d288374-7972-4e3b-886c-ebe7ba0ea4ca.json
DEFECT-CENSUS.tsv	data	HELD	
DEFERRED.md	other	HELD	
DIGEST.md	other	HELD	
DOCKET.md	other	HELD	
EXCISE-LIST.json	data	HELD	
EXCISE-LIST.md	other	HELD	
EXCISE-SITES-BUILD14.json	data	HELD	
FABRICATED.tsv	data	IN-CHAT	2026-08/2d4574ce-0f68-46af-9461-45c9290135ad.json
FETCH-BATCHED.txt	other	HELD	
FETCH-PATHS.tsv	data	HELD	
FETCH-QUEUE.tsv	data	HELD	
FIG1fillingindex2120.png	figure	HELD	
FIG2spectraindex2120.png	figure	HELD	
FIG3j120window.png	figure	HELD	
FIG4dm2widening.png	figure	HELD	
FIG5spectraindex3D.png	figure	HELD	
FIG6relativisticvsnonrelativistic.png	figure	HELD	
FIGURE_ASSETS.md	other	HELD	
FIGURE_MAP.md	other	HELD	
GATE-ch100.txt	other	IN-CHAT	2026-08/c8759945-d887-4a31-9ddd-a83e85634018.json
GATE-ch102.txt	other	IN-CHAT	2026-08/9c9a7394-cf0f-4bd4-b663-c4c2e4c15f95.json
GATE-ch103.txt	other	IN-CHAT	2026-08/22f6f4ec-c68d-4f24-b253-7e50b899118d.json
GATE-ch104.txt	other	IN-CHAT	2026-08/22f6f4ec-c68d-4f24-b253-7e50b899118d.json
GATE-ch105.txt	other	IN-CHAT	2026-08/aae9604f-db73-4f73-955d-31a5bd961d7d.json
GATE-ch106.txt	other	IN-CHAT	2026-08/b7f6af31-e1d4-4dee-a7ff-df24102b0fb6.json
GATE-ch107.txt	other	IN-CHAT	2026-08/0d01b07f-63f3-49a7-9bc7-d310656689ee.json
GATE-ch110.txt	other	IN-CHAT	2026-09/249f66b1-7661-4dd9-b807-965cfba3fbc6.json
GATE-ch111.txt	other	IN-CHAT	2026-09/5abbd543-33fe-4e92-9fd1-42de6bca9f45.json
GATE-ch114.txt	other	IN-CHAT	2026-09/82d760b2-28c2-4ed2-90b3-0b234e23ace6.json
GATE-ch117.txt	other	IN-CHAT	2026-09/84ffea7c-877d-4f8d-83b4-99e203bd9f51.json
GATE-ch120.txt	other	IN-CHAT	2026-09/88d37d5d-ba85-47a9-b754-3d2e5d1778ab.json
GATE-ch121.txt	other	IN-CHAT	2026-09/88d37d5d-ba85-47a9-b754-3d2e5d1778ab.json
GATE-ch123.txt	other	IN-CHAT	2026-09/2034979f-67df-45d4-935e-6ebe17e5f02d.json
GATE-ch125.txt	other	IN-CHAT	2026-09/4d288374-7972-4e3b-886c-ebe7ba0ea4ca.json
GATE-ch126.txt	other	IN-CHAT	2026-09/51056a13-4411-403a-9b37-f2efad598d95.json
GATE-ch127.txt	other	IN-CHAT	2026-09/90788a14-6357-4b6b-abe5-80231c46548f.json
GATE-ch131.txt	other	IN-CHAT	2026-09/284f1a46-01f0-411d-b832-478876eaf96e.json
GATE-ch132.txt	other	IN-CHAT	2026-09/4299d074-4bd3-4a20-b963-c8de70fb6ebc.json
GATE-ch133.txt	other	IN-CHAT	2026-09/4299d074-4bd3-4a20-b963-c8de70fb6ebc.json
GATE-ch134.txt	other	IN-CHAT	2026-09/46083acb-ccf9-4e45-b7a5-a406f9b37286.json
GATE-ch74.txt	other	IN-CHAT	2026-08/1fe1b3d0-bd71-44c2-ba89-7b6645773a74.json
GATE-ch79.txt	other	IN-CHAT	2026-08/b3c4f5c3-3aad-464b-9da1-cc15c4850645.json
GATE-ch80.txt	other	IN-CHAT	2026-08/a9c8af26-522f-4685-a146-6a2d82d6e4cb.json
GATE-ch81.txt	other	IN-CHAT	2026-08/8eea2e7b-041a-4b21-83cb-d68a798e80f7.json
GATE-ch90.txt	other	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
GATE-ch95.txt	other	IN-CHAT	2026-08/c3b3f697-4f4a-4f4d-a429-ef78856cc94c.json
GATE-ch96.txt	other	IN-CHAT	2026-08/8e854e1e-3792-46a2-9163-1ea1661d4ffe.json
GATE-ch97.txt	other	IN-CHAT	2026-08/2642ac6b-c6ca-4414-bb52-81347610b659.json
GATE-ch98.txt	other	IN-CHAT	2026-08/2642ac6b-c6ca-4414-bb52-81347610b659.json
GATE-ch99.txt	other	IN-CHAT	2026-08/2642ac6b-c6ca-4414-bb52-81347610b659.json
GATE-chCHAT.txt	other	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
GEMINI-UNVERIFIED.tsv	data	HELD	
GENESIS-REGISTER-1-to-94.md	other	HELD	
HANDOFF-10.md	HANDOFF	HELD	
HANDOFF-11.md	HANDOFF	HELD	
HANDOFF-14.md	HANDOFF	HELD	
HANDOFF-15.md	HANDOFF	HELD	
HANDOFF-16.md	HANDOFF	HELD	
HANDOFF-17.md	HANDOFF	HELD	
HANDOFF-18-1.md	HANDOFF	IN-CHAT	2026-08/7cca3364-13e5-4025-a38b-aad61ae8ca51.json
HANDOFF-18.md	HANDOFF	HELD	
HANDOFF-19-1.md	HANDOFF	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
HANDOFF-19-A.md	HANDOFF	IN-CHAT	2026-08/146fd7b1-4171-42ff-a76c-b9536152405d.json
HANDOFF-19.md	HANDOFF	HELD	
HANDOFF-2.md	HANDOFF	IN-CHAT	2026-08/01318618-b019-4f12-9719-c63040f506bd.json
HANDOFF-20.md	HANDOFF	HELD	
HANDOFF-21.md	HANDOFF	HELD	
HANDOFF-22.md	HANDOFF	HELD	
HANDOFF-23.md	HANDOFF	HELD	
HANDOFF-24.md	HANDOFF	HELD	
HANDOFF-25.md	HANDOFF	HELD	
HANDOFF-26.md	HANDOFF	HELD	
HANDOFF-27.md	HANDOFF	HELD	
HANDOFF-28.md	HANDOFF	HELD	
HANDOFF-29.md	HANDOFF	HELD	
HANDOFF-30.md	HANDOFF	HELD	
HANDOFF-31.md	HANDOFF	HELD	
HANDOFF-32.md	HANDOFF	HELD	
HANDOFF-34.md	HANDOFF	HELD	
HANDOFF-35.md	HANDOFF	HELD	
HANDOFF-36.md	HANDOFF	HELD	
HANDOFF-37.md	HANDOFF	HELD	
HANDOFF-38.md	HANDOFF	HELD	
HANDOFF-39.md	HANDOFF	HELD	
HANDOFF-4.md	HANDOFF	HELD	
HANDOFF-40.md	HANDOFF	HELD	
HANDOFF-41.md	HANDOFF	HELD	
HANDOFF-42.md	HANDOFF	HELD	
HANDOFF-43.md	HANDOFF	HELD	
HANDOFF-44.md	HANDOFF	HELD	
HANDOFF-45.md	HANDOFF	HELD	
HANDOFF-46.md	HANDOFF	HELD	
HANDOFF-47.md	HANDOFF	HELD	
HANDOFF-48.md	HANDOFF	HELD	
HANDOFF-49.md	HANDOFF	HELD	
HANDOFF-5.md	HANDOFF	HELD	
HANDOFF-50.md	HANDOFF	HELD	
HANDOFF-51.md	HANDOFF	HELD	
HANDOFF-52.md	HANDOFF	HELD	
HANDOFF-53.md	HANDOFF	HELD	
HANDOFF-6.md	HANDOFF	HELD	
HANDOFF-7.md	HANDOFF	HELD	
HANDOFF-74.md	HANDOFF	HELD	
HANDOFF-75.md	HANDOFF	HELD	
HANDOFF-76.md	HANDOFF	HELD	
HANDOFF-77.md	HANDOFF	HELD	
HANDOFF-78.md	HANDOFF	HELD	
HANDOFF-8.md	HANDOFF	HELD	
HANDOFF-9.md	HANDOFF	HELD	
HANDOFF-PROTOCOL.md	HANDOFF	HELD	
HANDOFF.md	HANDOFF	HELD	
HANDOFF96.md	other	ABSENT	
HANDOFF98.md	other	ABSENT	
HgII_full.tsv	data	HELD	
IE-neutral-all.tsv	data	HELD	
INDICES-TAIL.md	other	HELD	
INDICES.md	other	IN-CHAT	2026-08/01318618-b019-4f12-9719-c63040f506bd.json
INPUTS-GEMINI.md	other	HELD	
INTAKE.md	other	HELD	
INTEGRATION-transitions.md	other	HELD	
IOI_SPEC_AUDIT.md	other	HELD	
Index_of_Indices-2.md	other	IN-CHAT	2026-08/0015184d-d9fb-4917-9ad2-2ebafb232a9f.json
LADDER-H-Ar-I-III.tsv	data	HELD	
LADDER-K-Kr.tsv	data	HELD	
LESSONS.md	other	HELD	
LEVELS-Fe-I.tsv	data	HELD	
LEVELS-K-I.tsv	data	HELD	
LEVELS-Kr-I.tsv	data	HELD	
LIMITS-B.tsv	data	HELD	
LITERATURE.md	other	HELD	
LOWDIN-LITERATURE.md	other	HELD	
LW1-MANIFEST.tsv	data	HELD	
LW1-README.md	other	HELD	
LW1-ground.py	instrument	HELD	
Lach.md	other	IN-CHAT-BODY	2026-06/f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb.json
LiIII.tsv	data	HELD	
LuI.FABRICATED.tsv	data	HELD	
LuI.tsv	data	HELD	
MAIN_AUDIT.md	other	HELD	
MANIFEST.md	other	HELD	
MANIFEST.tsv	data	HELD	
MATH_AUDIT.md	other	HELD	
MEASUREMENTS-DERIVED.tsv	data	HELD	
MEASUREMENTS-DERIVED.v1.bak.tsv	data	HELD	
MEASUREMENTS-DERIVED.v2.bak.tsv	data	HELD	
MEASUREMENTS.tsv	data	HELD	
MECHANISMS.md	other	HELD	
MEMBERS-126-concatenated.tsv	data	HELD	
MEMBERS-126.tsv	data	HELD	
NAME.py	instrument	IN-CHAT	2026-08/09a19323-28c3-4caf-ba93-3271eed7a7ac.json
NEUTRALS-STAGING.tsv	data	HELD	
NI_full.tsv	data	HELD	
NOTE-to-book-project.md	other	HELD	
NU-AND-DELTA.md	other	HELD	
NU-DEACTIVATED.md	other	HELD	
NeII_1D.tsv	data	HELD	
NeII_fg.tsv	data	HELD	
NeII_np.tsv	data	HELD	
NeII_ryd.tsv	data	HELD	
NeI_2s.tsv	data	HELD	
NeI_p12.tsv	data	HELD	
OPEN-PINNED.md	other	HELD	
ORIGINAL-3B-TEXT.txt	other	HELD	
PAGEMAP.tsv	data	HELD	
PHYSICS-TAIL.md	other	HELD	
PHYSICS.md	other	IN-CHAT-BODY	2026-08/d94389c8-4d13-4ad0-9eb8-fdad834567ba.json
PHYS_AUDIT.md	other	HELD	
PINNED-NEXT-BUILD.md	other	HELD	
POINTERS-BUILD14.json	data	HELD	
PP_The_Method_1_6.md	other	IN-CHAT	2026-08/0d01b07f-63f3-49a7-9bc7-d310656689ee.json
PROVENANCE.md	other	HELD	
QD-CHECK.tsv	data	HELD	
QDEFECT-TOPbase.tsv	data	HELD	
QDEFECT-Theodosiou-1986.tsv	data	HELD	
QUEUE.md	other	HELD	
QUEUE2-INVENTORY.tsv	data	HELD	
R3-CLASS-WL.md	other	HELD	
RADII-Bk-Cf-PREDICTED.tsv	data	HELD	
RADII-actinide.tsv	data	HELD	
READ-21a.md	READ	HELD	
READ-23a.md	READ	HELD	
READ-24a.md	READ	HELD	
READ-25b.md	READ	HELD	
READ-26b.md	READ	HELD	
READ-ch1-A.md	READ	HELD	
READ-ch1-B.md	READ	HELD	
READ-ch10.md	READ	HELD	
READ-ch11.md	READ	HELD	
READ-ch12a.md	READ	IN-CHAT-BODY	2026-08/8811d491-280c-4187-a909-9183d6d46026.json
READ-ch12b.md	READ	IN-CHAT-BODY	2026-08/8811d491-280c-4187-a909-9183d6d46026.json
READ-ch12c.md	READ	HELD	
READ-ch12d.md	READ	HELD	
READ-ch12e.md	READ	HELD	
READ-ch12f.md	READ	HELD	
READ-ch12g.md	READ	HELD	
READ-ch12h.md	READ	HELD	
READ-ch12i.md	READ	HELD	
READ-ch12j.md	READ	HELD	
READ-ch12k.md	READ	HELD	
READ-ch12l.md	READ	HELD	
READ-ch12m.md	READ	HELD	
READ-ch12n.md	READ	HELD	
READ-ch12o.md	READ	HELD	
READ-ch12p.md	READ	HELD	
READ-ch12q.md	READ	HELD	
READ-ch12r.md	READ	HELD	
READ-ch12s.md	READ	HELD	
READ-ch12t.md	READ	HELD	
READ-ch12u.md	READ	HELD	
READ-ch12v.md	READ	HELD	
READ-ch12w.md	READ	HELD	
READ-ch12x.md	READ	HELD	
READ-ch12y.md	READ	HELD	
READ-ch12z.md	READ	HELD	
READ-ch13a.md	READ	HELD	
READ-ch13b.md	READ	HELD	
READ-ch13c.md	READ	HELD	
READ-ch13d.md	READ	HELD	
READ-ch13e.md	READ	HELD	
READ-ch13f.md	READ	HELD	
READ-ch13g.md	READ	HELD	
READ-ch13h.md	READ	HELD	
READ-ch13i.md	READ	HELD	
READ-ch13j.md	READ	HELD	
READ-ch13l.md	READ	HELD	
READ-ch13n.md	READ	HELD	
READ-ch13p.md	READ	HELD	
READ-ch13r.md	READ	HELD	
READ-ch13t.md	READ	HELD	
READ-ch13v.md	READ	HELD	
READ-ch13x.md	READ	HELD	
READ-ch13z.md	READ	HELD	
READ-ch14b.md	READ	HELD	
READ-ch14d.md	READ	HELD	
READ-ch14f.md	READ	HELD	
READ-ch14h.md	READ	HELD	
READ-ch14j.md	READ	HELD	
READ-ch14l.md	READ	HELD	
READ-ch14n.md	READ	HELD	
READ-ch14p.md	READ	HELD	
READ-ch14r.md	READ	HELD	
READ-ch14t.md	READ	HELD	
READ-ch14v.md	READ	HELD	
READ-ch14x.md	READ	HELD	
READ-ch14z.md	READ	HELD	
