# Al I — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 4 fetch 13 — FINAL).
# RE-VERIFICATION CAPTURE: the second 1.7-loss species, now from source.
# destination_url QUOTED FROM TOOL RESULT METADATA:
# https://physics.nist.gov/cgi-bin/ASD/energy1.pl?conf_out=on&format=2&j_out=on&level_out=on&spectrum=Al+I&submit=Retrieve+Data&term_out=on&units=0
# THE DEEPEST REFUSAL FORM IN THE QUEUE: config "3s2.nd" — the literal
# letter n. The perturbed y 2D pair (38929/38933) is real and measured
# but its PRINCIPAL QUANTUM NUMBER is refused: not the name, not the
# energy — the COORDINATE itself is left a variable. Five limits in the
# B-column pattern (third instance after B I, Ga I): 3s2 1S<0> 48278.480;
# 3P*<0> 85671.40, <1> 85732.28, <2> 85856.16; 1P*<1> 108130.39.
# QUESTION MARKS ON J ITSELF ("1/2?", "3/2?") through the displaced np
# region; questioned configs 8p?-11p?, (1P*).4p?; questioned terms
# 2D? 2S? 2P?. TWO IMPOSSIBLE ROWS AS SERVED: term 2S with J=3/2
# (81315.0 and 84079.4) — kept exactly. Bracketed ns from 10s.
Configuration	Term	J	Level_cm-1
3s.3p2	2P	1/2	56636.933
3s.3p2	2P	3/2	56724.980
3s.3p.(3P*).4s	4P*	1/2	61691.46
3s.3p.(3P*).4s	4P*	3/2	61747.56
3s.3p.(3P*).4s	4P*	5/2	61843.54
3s.3p.(3P*).3d	2D*	3/2	67635.128
3s.3p.(3P*).3d	2D*	5/2	67662.959
3s.3p.(3P*).4p		1/2?	69839.3
3s.3p.(3P*).4p		3/2?	69880.3
3s.3p.(3P*).4p		3/2?	70285.7
3s.3p.(3P*).4p		3/2?	70560.5
3s.3p.(3P*).4p	2P	1/2	70709.4
3s.3p.(3P*).4p	2P	3/2	70763.5
3s.3p.(3P*).3d	4D*	1/2	71235.25
3s.3p.(3P*).3d	4D*	3/2	71244.17
3s.3p.(3P*).3d	4D*	5/2	71260.55
3s.3p.(3P*).3d	4D*	7/2	71286.4
3s.3p.(3P*).4p	2D	3/2	71653
3s.3p.(3P*).4p	2D	5/2	71653
3s.3p.(3P*).3d	4P*	5/2	72204.00
3s.3p.(3P*).3d	4P*	3/2	72250.53
3s.3p.(3P*).3d	4P*	1/2	72277.75
3s.3p.(3P*).3d	2F*	5/2	72978.9
3s.3p.(3P*).3d	2F*	7/2	73077.8
3s.3p.(3P*).4p	2S	1/2	73051.0
3s.3p.(3P*).5s	4P*	5/2	74979.02
3s.3p.(3P*).4d	2D*	3/2	76521.7
3s.3p.(3P*).4d	2D*	5/2	76553.47
3s.3p.(3P*).5p		1/2?	77627.0
3s.3p.(3P*).5p		3/2?	77642.9
3s.3p.(3P*).5p		1/2?	77667.9
3s.3p.(3P*).5p	2P	3/2	77712.7
3s.3p.(3P*).5p		3/2?	77853.5
3s.3p.(3P*).5p	2D	3/2	78271
3s.3p.(3P*).5p	2D	5/2	78271
3s.3p.(3P*).4d	2F*	5/2	78612.23
3s.3p.(3P*).4d	2F*	7/2	78710.26
3s.3p.(3P*).5p	2S	1/2	78742.9
3s.3p.(3P*).5d	2D*	3/2	80158.0
3s.3p.(3P*).5d	2D*	5/2	80191.9
3s.3p.(3P*).6p		1/2?	80722.7
3s.3p.(3P*).6p		3/2?	80734.4
3s.3p.(3P*).6p		1/2?	80776.4
3s.3p.(3P*).6p		3/2?	80811.8
3s.3p.(3P*).6p		3/2?	80933.3
3s.3p.(3P*).6p	2D	3/2	81094
3s.3p.(3P*).6p	2D	5/2	81094
3s.3p.(3P*).6p	2S	3/2	81315.0
3s.3p.(3P*).7p		3/2?	82334.7
3s.3p.(3P*).7p		1/2?	82375.4
3s.3p.(3P*).7p		3/2?	82411.1
3s.3p.(3P*).7p	2D	3/2	82598
3s.3p.(3P*).7p	2D	5/2	82598
3s.3p.(3P*).7p	2S	1/2	82701.8
3s.3p.(3P*).8p?		3/2?	83274.4
3s.3p.(3P*).8p?		3/2?	83301.8
3s.3p.(3P*).8p?	2D?	3/2?	83439
3s.3p.(3P*).8p?	2D?	5/2?	83448
3s.3p.(1P*).4p?	2D?	3/2	83491
3s.3p.(1P*).4p?	2D?	5/2	83491
3s.3p.(3P*).8p?	2S?	1/2?	83536.7
3s.3p.(1P*).4p?	2P?	1/2?	83797.2
3s.3p.(1P*).4p?	2P?	3/2?	83877.7
3s.3p.(3P*).9p?		3/2?	83870.0
3s.3p.(3P*).9p?	2D?	5/2?	84051
3s.3p.(3P*).9p?	2S?	3/2?	84079.4
3s.3p.(3P*).10p?		3/2?	84292.4
3s.3p.(3P*).10p?	2D?	5/2?	84444
3s.3p.(3P*).10p?	2S?	1/2?	84453.3
3s.3p.(3P*).11p?		3/2?	84575.3
3s.3p.(3P*).11p?	2D?	5/2?	84714
3s.3p.(3P*).11p?	2S?	1/2?	84721.1
Al_II_(3s.3p_3P*<0>)	Limit	---	85671.40
Al_II_(3s.3p_3P*<1>)	Limit	---	85732.28
Al_II_(3s.3p_3P*<2>)	Limit	---	85856.16
Al_II_(3s.3p_1P*<1>)	Limit	---	108130.39
