# Hf I — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 4 fetch 3).
# destination_url QUOTED FROM TOOL RESULT METADATA:
# https://physics.nist.gov/cgi-bin/ASD/energy1.pl?conf_out=on&format=2&j_out=on&level_out=on&spectrum=Hf+I&submit=Retrieve+Data&term_out=on&units=0
# 5d2.6s2 ground (Zr I homologue one shell down). ~45 anonymous levels
# with NUMERIC TERM LABELS that are the energy DIVIDED BY TEN — "3499" at
# 34991.659, "4384*" at 43844.653, "5762*" at 57622.950 — the Sn I
# measurement-as-name form, SCALED (Moore-style hundreds-of-cm-1 names).
# Some carry *, some don't. NEW J FORM: "1 or 2" (disjunctive J, level
# 49377.892). Questioned terms 5P?, 5F?, 3F? on 5d4; questioned config
# 6s2.6p2?; ? suffix flags carried. Seniority letters reach h and i
# (h 3F, h 3D, i 3F). 6p2.(parent).5d.(parent).6s double-parent configs.
# Two numeric-term levels ABOVE the limit (5762*, 5812*).
# Limit: Hf II (5d.6s2 2D<3/2>) 55047.9.
Configuration	Term	J	Level_cm-1	Flag
5d2.(a_3F).6s.(a_4F).6p	z 5G*	4	20960.1223	
5d2.(a_3F).6s.(a_4F).6p	z 5G*	5	22901.3837	
5d2.(a_3F).6s.(a_4F).6p	z 5G*	6	25462.114	
5d.6s2.(a_2D).6p	z 3P*	1	18143.4034	
5d.6s2.(a_2D).6p	z 3P*	0	18270.133	
5d.6s2.(a_2D).6p	z 3P*	2	19791.3040	
5d2.6s2	1S	0	20328.402	
5d3.(b_4P).6s	a 5P	1	20784.857	
5d3.(b_4P).6s	a 5P	2	20908.462	
5d3.(b_4P).6s	a 5P	3	22199.110	
5d2.(a_3F).6s.(a_4F).6p	z 5F*	1	21738.7225	
5d2.(a_3F).6s.(a_4F).6p	z 5F*	2	22450.5521	
5d2.(a_3F).6s.(a_4F).6p	z 5F*	3	23448.6227	
5d2.(a_3F).6s.(a_4F).6p	z 5F*	4	24785.2649	
5d2.(a_3F).6s.(a_4F).6p	z 5F*	5	26202.5501	
5d3.(b_2G).6s	a 3G	3	22880.262	
5d3.(b_2G).6s	a 3G	4	23252.852	
5d3.(b_2G).6s	a 3G	5	24085.183	
5d3.(b_4F).6s	b 3F	2	23327.739	
5d3.(b_4F).6s	b 3F	3	25281.843	
5d3.(b_4F).6s	b 3F	4	27074.542	
5d3.(c_2D).6s	a 3D	1	23641.389	
5d3.(c_2D).6s	a 3D	2	25084.172	
5d3.(c_2D).6s	a 3D	3	26715.403	
5d.6s2.(a_2D).6p	z 1F*	3	23644.7563	
5d2.(a_3F).6s.(a_4F).6p	z 5D*	0	24966.809	
5d2.(a_3F).6s.(a_4F).6p	z 5D*	1	25194.5090	
5d2.(a_3F).6s.(a_4F).6p	z 5D*	2	25634.2234	
5d2.(a_3F).6s.(a_4F).6p	z 5D*	3	26305.8081	
5d2.(a_3F).6s.(a_4F).6p	z 5D*	4	27516.4201	
5d3.(b_2P).6s	c 3P	0	25444.379	
5d3.(b_2P).6s	c 3P	1	26918.146	
5d3.(b_2P).6s	c 3P	2	28200.544	
5d3.(2H).6s	a 3H	4	25678.643	
5d3.(2H).6s	a 3H	6	26943.983	
5d3.(2H).6s	a 3H	5	27018.812	
5d.6s2.(a_2D).6p	z 1P*	1	26463.9649	
5d2.(a_3F).6s.(a_4F).6p	y 3F*	2	27149.6642	
5d2.(a_3F).6s.(a_4F).6p	y 3F*	3	27654.3580	
5d2.(a_3F).6s.(a_4F).6p	y 3F*	4	30733.2723	
5d2.(a_3P).6s.(a_4P).6p	y 5D*	0	27231.770	
5d2.(a_3P).6s.(a_4P).6p	y 5D*	1	27533.7873	
5d2.(a_3P).6s.(a_4P).6p	y 5D*	2	29752.8870	
5d2.(a_3P).6s.(a_4P).6p	y 5D*	3	31342.5275	
5d2.(a_3P).6s.(a_4P).6p	y 5D*	4	31943.3435	
5d2.(a_3P).6s.(a_4P).6p	z 3S*	1	28047.9411	
5d2.(a_3F).6s.(a_4F).6p	y 3D*	2	28267.4366	
5d2.(a_3F).6s.(a_4F).6p	y 3D*	1	28790.2720	
5d2.(a_3F).6s.(a_4F).6p	y 3D*	3	29996.8513	
5d2.(a_3P).6s.(a_4P).6p	y 3P*	0	28526.2274	
5d2.(a_3P).6s.(a_4P).6p	y 3P*	2	29401.4784	
5d3.(b_4P).6s	b 3P	1	28527.998	
5d3.(b_4P).6s	b 3P	2	30146.412	
5d3.(b_4P).6s	b 3P	0	30298.763	
5d2.(a_3F).6s.(a_4F).6p	z 3G*	3	28583.7248	
5d2.(a_3F).6s.(a_4F).6p	z 3G*	4	29246.6760	
5d2.(a_3F).6s.(a_4F).6p	z 3G*	5	30977.0338	
5d3.(b_2G).6s	a 1G	4	30501.127	
5d3.(b_2F).6s	c 3F	3	31054.653	
5d3.(b_2F).6s	c 3F	4	31575.687	
5d3.(b_2F).6s	c 3F	2	31619.988	
5d3.(c_2D).6s	b 1D	2	31119.208	
5d2.(a_3F).6s.(a_2F).6p	y 1D*	2	31610.8213	
5d2.(a_3P).6s.(a_4P).6p	z 5S*	2	31943.8516	
5d2.(a_3P).6s.(a_4P).6p	z 5P*	1	31952.2928	
5d2.(a_3P).6s.(a_4P).6p	z 5P*	2	33121.5094	
5d2.(a_3P).6s.(a_4P).6p	z 5P*	3	33139.1776	
5d3.(b_2P).6s	a 1P	1	32091.617	
5d2.(a_3F).6s.(a_2F).6p	y 3G*	3	32533.3746	
5d2.(a_3F).6s.(a_2F).6p	y 3G*	4	33994.7455	
5d2.(a_3F).6s.(a_2F).6p	y 3G*	5	35993.7702	
5d2.(a_3P).6s.(a_4P).6p	x 3D*	1	33137.904	
5d2.(a_3P).6s.(a_4P).6p	x 3D*	2	34947.9749	
5d2.(a_3P).6s.(a_4P).6p	x 3D*	3	36609.883	
5d2.(a_3F).6s.(a_2F).6p	x 3F*	2	33538.1620	
5d2.(a_3F).6s.(a_2F).6p	x 3F*	3	33949.313	
5d2.(a_3F).6s.(a_2F).6p	x 3F*	4	36075.0722	
5d2.(a_1G).6s.(a_2G).6p	w 3F*	2	33994.8879	
5d2.(a_1G).6s.(a_2G).6p	w 3F*	3	35453.8381	
5d2.(a_1G).6s.(a_2G).6p	w 3F*	4	37269.8860	
5d3.(b_2F).6s	a 1F	3	34274.227	
5d2.(a_3F).6s.(a_2F).6p	w 3D*	1	34596.5038	
5d2.(a_3F).6s.(a_2F).6p	w 3D*	2	36772.8864	
5d2.(a_3F).6s.(a_2F).6p	w 3D*	3	38407.849	
5d2.(a_1G).6s.(a_2G).6p	z 3H*	4	34805.9335	
5d2.(a_1G).6s.(a_2G).6p	z 3H*	5	36419.298	
5d2.(a_1G).6s.(a_2G).6p	z 3H*	6	37301.637	
5d2.(a_3F).6s.(a_2F).6p	y 1F*	3	34877.0813	
	3499	1	34991.659	
	3512	2	35115.306	
5d2.(b_1D).6s.(b_2D).6p	y 1P*	1	35284.327	
5d2.(b_1D).6s.(b_2D).6p	x 1F*	3	36237.353	
5d3.(2D).6s	b 3D	3	36523.852	
5d3.(2D).6s	b 3D	2	37038.868	
5d3.(2D).6s	b 3D	1	37336.222	
5d2.(a_1G).6s.(a_2G).6p	x 3G*	4	36850.091	
5d2.(a_1G).6s.(a_2G).6p	x 3G*	5	38845.497	
5d2.(b_1D).6s.(b_2D).6p	v 3D*	1	36949.271	
5d2.(b_1D).6s.(b_2D).6p	v 3D*	2	38325.477	
5d2.(b_1D).6s.(b_2D).6p	v 3D*	3	39193.9390	
5d2.(b_1D).6s.(b_2D).6p	x 3P*	0	37843.707	
5d2.(b_1D).6s.(b_2D).6p	x 3P*	1	38151.761	
5d2.(b_1D).6s.(b_2D).6p	x 3P*	2	39435.2034	
5d3.(2D).6s	c 1D	2	38289.406	
6s2.6p2?	3P	0	38366.693	
5d2.(a_3F).6s.(a_2F).6p	z 1G*	4	38987.9197	
6p2.(3P).5d.(2D).6s	c 3D	3	39127.652	
5d2.(3F).6s.(a_4F).7s	b 5F	1	39286.213	
5d2.(3F).6s.(a_4F).7s	b 5F	2	39788.926	
5d2.(3F).6s.(a_4F).7s	b 5F	3	40882.107	
5d2.(3F).6s.(a_4F).7s	b 5F	4	42283.573	
5d2.(3F).6s.(a_4F).7s	b 5F	5	44132.048	
5d.6s2.(a_2D).7s	d 3D	1	39546.371	
5d.6s2.(a_2D).7s	d 3D	2	40513.560	
5d.6s2.(a_2D).7s	d 3D	3	42061.620	
5d2.(a_3P).6s.(a_2P).6p	u 3D*	1	39704.402	
5d2.(a_3P).6s.(a_2P).6p	u 3D*	2	40267.341	
5d2.(a_3P).6s.(a_2P).6p	u 3D*	3	40767.466	
6p2.(3P).5d.(4F).6s	c 5F	1	39790.707	
6p2.(3P).5d.(4F).6s	c 5F	2	40636.304	
6p2.(3P).5d.(4F).6s	c 5F	3	41475.864	
6p2.(3P).5d.(4F).6s	c 5F	4	42670.846	
5d4	a 5D	0	39843.886	
5d4	a 5D	1	40618.647	
5d4	a 5D	2	41211.057	
5d4	a 5D	3	41739.415	
5d4	a 5D	4	42175.652	
6p2.(3P).5d.(2D).6s	d 1D	2	40130.254	
5d2.(b_1D).6s.(b_2D).6p	v 3F*	2	40194.4590	
5d2.(b_1D).6s.(b_2D).6p	v 3F*	3	43104.728	
5d2.(b_1D).6s.(b_2D).6p	v 3F*	4	45321.503	
5d2.(a_3P).6s.(a_2P).6p	x 1P*	1	40704.203	
5d3.(b_4F).6p	y 5G*	2	40957.550	
5d3.(b_4F).6p	y 5G*	3	41422.491	
5d3.(b_4F).6p	y 5G*	4	42871.036	
5d3.(b_4F).6p	y 5G*	5	44537.517	
5d2.(a_3P).6s.(a_2P).6p	w 3P*	0	41133.82	
5d2.(a_3P).6s.(a_2P).6p	w 3P*	1	41193.944	
5d2.(a_3P).6s.(a_2P).6p	w 3P*	2	42075.820	
5d3.(b_2G).6p	u 3F*	4	41175.411	
5d3.(b_2G).6p	u 3F*	3	41824.611	
5d3.(b_2G).6p	u 3F*	2	42302.129	
5d2.(3F).6s.(a_4F).7s	d 3F	2	41298.383	
5d2.(3F).6s.(a_4F).7s	d 3F	3	43489.327	
5d2.(3F).6s.(a_4F).7s	d 3F	4	44777.562	
5d2.(b_1D).6s.(b_2D).6p	x 1D*	2	41768.700	
5d3.(b_4P).6p	v 3P*	1	42036.433	
6p2.(3P).5d.(4D).6s	e 3D	1	42111.736	
6p2.(3P).5d.(4D).6s	e 3D	3	42360.915	
6p2.(3P).5d.(4D).6s	e 3D	2	42719.599	
5d2.(a_1G).6s.(a_2G).6p	z 1H*	5	42166.64	q
5d2.(a_1G).6s.(a_2G).6p	w 1F*	3	42395.693	
5d2.(a_1G).6s.(a_2G).6p	y 1G*	4	42453.760	
5d3.(b_4P).6p	t 3D*	1	42485.481	
5d3.(b_4P).6p	t 3D*	3	44463.504	
6p2.(3P).5d.(4D).6s	b 5D	1	42782.551	
6p2.(3P).5d.(4D).6s	b 5D	3	43013.02	q
6p2.(3P).5d.(4D).6s	b 5D	2	43016.488	
6p2.(3P).5d.(4D).6s	b 5D	4	43838.365	
5d.6s.6p2	5D	0	43131.468	
5d2.(a_3P).6s.(a_2P).6p	w 1D*	2	43517.838	
6p2.(3P).5d.(2P).6s	d 3P	1	43561.796	
6p2.(3P).5d.(2P).6s	d 3P	2	44375.472	
5d3.(b_4F).6p	y 5F*	1	43786.623	
5d3.(b_4F).6p	y 5F*	2	44503.737	
5d3.(b_4F).6p	y 5F*	3	45112.263	
5d3.(b_4F).6p	y 5F*	4	46289.706	
5d3.(b_4F).6p	y 5F*	5	47366.899	
5d3.(b_2G).6p	x 1G*	4	43794.647	
	4384*	1	43844.653	
5d3.(b_2G).6p	v 1F*	3	44049.269	
	4426*	1	44257.617	
5d2.(3P).6s.(a_4P).7s	e 3P	0	44940.013	q
5d2.(3P).6s.(a_4P).7s	e 3P	1	45270.151	
5d2.(3P).6s.(a_4P).7s	e 3P	2	45728.640	
6p2.(3P).5d.(2F).6s	b 1F	3	45083.320	
	4514*	2	45138.894	
6p2.(3P).5d.(4P).6s	b 5P	2	45254.947	
6p2.(3P).5d.(4P).6s	b 5P	3	45364.860	
6p2.(3P).5d.(4P).6s	b 5P	1	46100.815	
6p2.(3P).5d.(4F).6s	e 3F	4	45387.560	
6p2.(3P).5d.(4F).6s	e 3F	2	45666.181	
6p2.(3P).5d.(4F).6s	e 3F	3	45994.631	
5d.6s2.6d	3G	5	45448.119	
	4546*	3	45455.164	
6p2.(3P).5d.(4P).6s	f 3P	1	45474.645	
6p2.(3P).5d.(4P).6s	f 3P	2	46437.767	
	4552*	3	45522.369	
5d3.(b_4F).6p	x 5D*	0	45533.42	
5d3.(b_4F).6p	x 5D*	1	45799.531	
5d3.(b_4F).6p	x 5D*	2	46170.176	
5d3.(b_4F).6p	x 5D*	3	47070.716	
5d3.(b_4F).6p	x 5D*	4	48047.920	
6p2.(3P).5d.(2F).6s	f 3F	3	45649.372	
6p2.(3P).5d.(2F).6s	f 3F	2	46056.211	
6p2.(3P).5d.(2F).6s	f 3F	4	46282.397	
	4585*	2	45848.407	
	4618	3	46181.433	
5d.6s2.(a_2D).7s	e 1D	2	46183.110	
	4622*	3	46218.213	
	4625	0	46248.316	
6p2.(1D).5d.(2F).6s	g 3F	3	46280.325	
6p2.(1D).5d.(2F).6s	g 3F	4	46678.167	
6p2.(1D).5d.(2F).6s	g 3F	2	46961.989	
	4646*	1	46460.747	
5d3.6p	5G*	6	46487.71	
5d3.(b_4F).6p	w 3G*	3	46775.978	
5d3.(b_4F).6p	w 3G*	4	48236.200	
5d3.(b_4F).6p	w 3G*	5	49389.483	
6p2.(3P).5d.(2P).6s	b 1P	1	46782.803	
5d2.(3P).6s.(a_4P).7s	c 5P	2	46860.761	
5d2.(3P).6s.(a_4P).7s	c 5P	1	46937.955	
5d2.(3P).6s.(a_4P).7s	c 5P	3	47938.463	
6p2.(1D).5d.(2F).6s	c 1F	3	46966.632	
	4698*	2	46981.209	
6p2.(1D).5d.(2G).6s	b 3G	4	46992.423	
6p2.(1D).5d.(2G).6s	b 3G	3	47345.946	
6p2.(1D).5d.(2G).6s	b 3G	5	47768.679	
	4709*	1	47092.024	
6p2.(1D).5d.(2D).6s	f 3D	3	47112.405	
6p2.(1D).5d.(2D).6s	f 3D	2	47305.024	
6p2.(1D).5d.(2D).6s	f 3D	1	47874.451	
6p2.(1D).5d.(2P).6s	g 3P	1	47309.327	
6p2.(1D).5d.(2P).6s	g 3P	0	47751.233	
6p2.(1D).5d.(2P).6s	g 3P	2	47867.670	
	4735*	2	47345.139	
	4759*	3	47590.144	
6p2.(1D).5d.(2G).6s	b 1G	4	47606.258	
	4764*	1	47640.273	
6p2.(1D).5d.(2D).6s	f 1D	2	47702.436	
5d3.(b_4P).6p	y 5P*	1	47876.636	
5d3.(b_4P).6p	y 5P*	3	48647.541	
5d3.(b_4P).6p	y 5P*	2	48952.008	
	4788*	3	47884.746	
6p2.(1S).5d.(2D).6s	g 3D	3	47896.924	
6p2.(1S).5d.(2D).6s	g 3D	2	47955.206	
6p2.(1S).5d.(2D).6s	g 3D	1	48309.906	
5d3.(b_2G).6p	v 3G*	3	47931.884	
	4794*	2	47937.928	
5d4	b 3H	4	48022.230	
5d4	b 3H	5	49180.692	
5d4	b 3H	6	50888.787	q
5d2.(3F).6s.(a_2F).7s	d 1F	3	48049.468	
	4808*	3	48081.510	
6p2.(1D).5d.(2P).6s	c 1P	1	48129.626	
	4818	2	48179.148	
5d4	h 3F	4	48220.762	
5d4	h 3F	3	48869.483	
5d4	h 3F	2	48991.455	
5d3.(b_4P).6p	w 5D*	1	48259.189	
5d3.(b_4P).6p	w 5D*	0	48985.407	
5d3.(b_4P).6p	w 5D*	2	50364.656	
5d3.(b_4P).6p	w 5D*	3	50857.946	
5d3.(b_4P).6p	w 5D*	4	51968.618	
	4832	3	48319.153	
5d4	c 3G	4	48356.954	
5d4	c 3G	3	48599.011	
5d4	c 3G	5	49540.685	
6p2.(1S).5d.(2D).6s	g 1D	2	48407.265	
5d2.(3F).6s.(a_2F).7s	i 3F	2	48459.099	
5d2.(3F).6s.(a_2F).7s	i 3F	3	48746.542	
5d2.(3F).6s.(a_2F).7s	i 3F	4	49005.416	
	4855	2	48552.385	
	4859	2	48594.849	
5d4	5P?	2	48708.483	
5d4	h 3D	3	48809.787	
5d4	h 3D	2	48906.452	
5d4	h 3D	1	48982.191	
5d4	5F?	5	49178.282	q
5d3.(b_4F).6p	s 3D*	1	49204.119	
5d3.(b_4F).6p	s 3D*	2	50879.37	q
5d3.(b_4F).6p	s 3D*	3	51739.31	q
5d3.(b_2G).6p	y 3H*	4	49268.290	
5d3.(b_2G).6p	y 3H*	6	51641.888	
	4935	3	49347.343	
	4938	1_or_2	49377.892	
	4940	2	49404.001	
	4944	2	49438.825	
	4945	1	49446.869	
	4962	4	49623.477	
	4966	3	49660.579	
	4979	3	49791.882	
	4995*	4	49946.479	
	5000	3	49999.148	
5d3.(b_4F).6p	t 3F*	2	50084.585	
5d3.(b_4F).6p	t 3F*	3	50354.571	
5d3.(b_4F).6p	t 3F*	4	52581.287	
	5019	2	50193.266	
	5028	5	50279.571	
	5039	4	50393.234	
	5058*	3	50583.628	
5d4	3F?	3	50680.440	
	5083	1	50828.596	
	5089	2	50891.397	
	5109	1	51091.243	
5d4	1G	4	51201.490	
5d4	5F	4	51390.770	
	5140	3	51395.746	
	5141	5	51408.695	
	5151	2	51508.399	
	5156	3	51556.239	
	5164	4	51640.354	
	5177	2	51771.598	
	5178	2	51782.937	
	5185	3	51847.447	
	5193	5	51929.970	
	5306*	4	53063.851	
	5385*	0	53853.608	
Hf_II_(5d.6s2_2D<3/2>)	Limit	---	55047.9	
	5762*	2	57622.950	
	5812*	2	58115.295	
